RID	MEDV_5.0(b=4.6209)	Support	Rule
(-1, 42)	0.8671	0.3333	RM > 6.405 & CRIM <= 10.909 & LSTAT <= 15.211
(-1, 13)	0.8518	0.2614	RM > 6.405 & CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 9.251
(-1, 64)	0.5984	0.8824	INDUS > 12.545 | CHAS > 0.173 | NOX > 0.700 | RAD > 8.382 | TAX > 375.675 | RM <= 6.405 | DIS <= 3.180 | PTRATIO <= 17.416
(-1, 72)	0.5755	0.8922	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | RM <= 6.405 | PTRATIO <= 17.625
(-1, 80)	0.5579	0.8824	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | RM <= 6.405 | PTRATIO <= 17.416
(-1, 78)	0.5520	0.9150	INDUS > 12.545 | CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | RM <= 6.405 | DIS <= 3.180 | PTRATIO <= 17.416
(-1, 74)	0.5511	0.9118	INDUS > 12.545 | CHAS > 0.173 | NOX > 0.700 | RAD > 8.382 | TAX > 375.675 | INDUS <= 4.346 | RM <= 6.405 | PTRATIO <= 17.416
(-1, 79)	0.5461	0.7059	INDUS > 10.197 | CHAS > 0.173 | NOX > 0.562 | RAD > 6.318 | DIS <= 3.180 | PTRATIO <= 16.149
(-1, 66)	0.5414	0.6340	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | RM <= 4.652 | AGE <= 51.269 | PTRATIO <= 17.625
(-1, 8)	0.5290	0.1634	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 17.416 & LSTAT <= 12.319
(-1, 63)	0.5220	0.8595	CHAS > 0.173 | NOX > 0.748 | INDUS <= 15.354 | AGE <= 72.357 | TAX <= 489.688 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 77)	0.5173	0.9281	CHAS > 0.173 | NOX > 0.748 | CRIM <= 7.209 | NOX <= 0.677 | AGE <= 72.357 | TAX <= 489.688 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 76)	0.5146	0.7222	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | AGE <= 72.357 | PTRATIO <= 17.625
(-1, 61)	0.5125	0.7222	CHAS > 0.173 | NOX > 0.748 | INDUS <= 4.346 | AGE <= 72.357 | PTRATIO <= 17.625 | LSTAT <= 12.319
(-1, 81)	0.5062	0.8987	RM > 5.799 | INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 59)	0.5034	0.9706	CHAS > 0.173 | NOX > 0.700 | DIS > 2.631 | CRIM <= 10.909 | INDUS <= 4.346 | NOX <= 0.664 | AGE <= 79.783 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 73)	0.5007	0.8922	CHAS > 0.173 | NOX > 0.748 | INDUS <= 4.346 | NOX <= 0.664 | AGE <= 72.357 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 70)	0.4984	0.9575	CHAS > 0.326 | NOX > 0.748 | TAX > 375.675 | INDUS <= 4.346 | AGE <= 79.783 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 62)	0.4938	0.6471	CHAS > 0.173 | NOX > 0.748 | INDUS <= 4.346 | AGE <= 72.357 | PTRATIO <= 17.416
(-1, 75)	0.4917	0.8954	ZN > 6.661 | CHAS > 0.173 | DIS > 2.631 | INDUS <= 12.545 | NOX <= 0.677 | AGE <= 72.357 | TAX <= 375.675 | LSTAT <= 15.211
(-1, 60)	0.4876	0.9510	CHAS > 0.173 | NOX > 0.748 | CRIM <= 10.909 | AGE <= 72.357 | PTRATIO <= 17.416 | LSTAT <= 15.211
