RID	MEDV_5.0(b=0.2905)	Support	Rule
(-1, 26)	-3.1763	0.0588	INDUS > 4.346 & RM > 6.405 & ZN <= 50.558 & INDUS <= 12.545 & CHAS <= 0.173 & RAD <= 6.318 & TAX <= 375.675
(-1, 2)	2.4501	0.0327	INDUS > 15.354 & AGE > 80.249 & B > 350.428 & CRIM <= 7.209 & ZN <= 6.661 & DIS <= 4.326 & LSTAT <= 12.319
(-1, 13)	2.2461	0.0261	RM > 6.405 & B > 350.428 & ZN <= 6.661 & NOX <= 0.664 & DIS <= 3.180 & PTRATIO <= 17.416 & LSTAT <= 15.211
(-1, 39)	-1.9126	0.0261	DIS > 5.534 & PTRATIO > 16.149 & INDUS <= 10.197 & CHAS <= 0.173 & NOX <= 0.562 & AGE <= 31.342 & PTRATIO <= 17.416 & LSTAT <= 15.211
(-1, 17)	1.7100	0.0392	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 25)	-1.6667	0.0817	NOX > 0.562 & AGE > 72.357 & PTRATIO > 17.416 & LSTAT > 15.211 & B <= 350.428
(-1, 30)	1.6608	0.0784	RM > 5.372 & AGE > 31.342 & B > 350.428 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 48)	1.6399	0.0392	RM > 6.405 & AGE > 31.342 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 70)	1.3983	0.7549	DIS > 2.631 | INDUS <= 4.346 | NOX <= 0.562 | AGE <= 72.357 | TAX <= 317.756 | LSTAT <= 9.251
(-1, 18)	1.3474	0.2549	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 31)	1.2764	0.3072	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 12.319
(-1, 63)	0.9996	0.5392	ZN > 31.487 | CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | AGE <= 31.342 | PTRATIO <= 17.416
(-1, 38)	0.9604	0.3693	B > 350.428 & CRIM <= 5.135 & NOX <= 0.748 & LSTAT <= 9.251
(-1, 0)	0.9567	0.1536	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 24)	0.9053	0.3366	RM > 5.799 & B > 350.428 & CRIM <= 10.909 & ZN <= 6.661 & NOX <= 0.664 & TAX <= 410.434
(-1, 78)	0.8186	0.9183	CHAS > 0.173 | NOX > 0.748 | CRIM <= 7.209 | NOX <= 0.677 | AGE <= 72.357
(-1, 77)	0.8074	0.9314	NOX <= 0.677 | B <= 309.410 | LSTAT <= 15.211
(-1, 21)	0.7976	0.2549	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 28)	0.7814	0.1830	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 17.625
(-1, 51)	0.7746	0.8889	ZN > 31.487 | INDUS > 10.197 | CHAS > 0.326 | NOX > 0.748 | RAD > 6.318 | TAX > 375.675 | INDUS <= 4.346 | AGE <= 51.269 | PTRATIO <= 17.625
(-1, 50)	0.7553	0.3072	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 12.319
