RID	y_no(b=-0.6506)	y_yes(b=0.9768)	Support	Rule
(-1, 5)	-1.7346	1.7394	0.0283	poutcome_success & duration > 138.136
(-1, 2)	-0.9695	1.0089	0.6276	duration > 138.136
(-1, 8)	0.7711	-0.7554	0.8349	housing_yes | loan_yes | contact_unknown | month_aug | month_feb | duration > 622.818
(-1, 6)	0.7007	-0.7315	0.6906	duration <= 426.683 & pdays <= 39.144 & previous <= 1.786
(-1, 10)	0.6644	-0.6320	0.8428	contact_unknown | month_aug | month_jan | month_jul | month_nov | duration > 622.818 | pdays > 97.011 | duration <= 75.726
(-1, 11)	0.5669	-0.5255	0.4939	contact_unknown | month_jan | month_nov | duration <= 75.726
(-1, 4)	0.4532	-0.4724	0.8432	duration <= 426.683
(-1, 1)	0.4274	-0.4093	0.8578	age <= 57.528 & duration <= 622.818
(-1, 3)	0.4020	-0.3715	0.6085	age > 34.083 & duration <= 622.818
(-1, 0)	0.3499	-0.3545	0.5553	marital_married & duration <= 622.818
(-1, 9)	0.2713	-0.2902	0.6073	month_may | campaign > 2.714 | duration <= 75.726
(-1, 7)	0.2569	-0.2474	0.4805	balance <= 630.330 & duration <= 426.683
############################################################
