RID	MEDV_5.0(b=3.0842)	Support	Rule
(-1, 17)	0.6033	0.0327	ZN > 31.487 & RM > 6.405 & DIS > 4.659 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 13.079
(-1, 43)	0.5968	0.0327	ZN > 31.487 & RM > 5.799 & B > 350.428 & INDUS <= 4.346 & AGE <= 51.269 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 18)	0.5906	0.0425	ZN > 31.487 & RM > 5.799 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 13.079
(-1, 84)	0.5624	0.7778	ZN > 31.487 | CHAS > 0.173 | INDUS <= 4.346 | TAX <= 489.688 | PTRATIO <= 17.625
(-1, 48)	0.5491	0.0327	ZN > 31.487 & RM > 6.405 & DIS > 4.659 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 38)	0.5487	0.0425	ZN > 21.951 & RM > 6.405 & B > 350.428 & CRIM <= 7.209 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.625 & LSTAT <= 12.319
(-1, 54)	0.5432	0.8203	ZN > 21.951 | RM > 6.405 | DIS > 5.534 | LSTAT > 13.079 | PTRATIO <= 16.866
(-1, 5)	0.5363	0.0458	ZN > 31.487 & RM > 5.799 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 70)	0.5349	0.9935	INDUS > 10.197 | NOX > 0.562 | AGE > 31.342 | RAD > 8.382 | TAX > 375.675 | PTRATIO > 16.866 | LSTAT > 9.251 | ZN <= 50.558 | DIS <= 5.534 | PTRATIO <= 16.149 | B <= 350.428
(-1, 76)	0.5342	0.4020	AGE <= 31.342 | LSTAT <= 9.251
(-1, 30)	0.5282	0.0033	CHAS > 0.326 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 458.541 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 51)	0.5175	0.9902	B > 282.877 | CRIM <= 10.909 | RM <= 5.799 | PTRATIO <= 17.625
(-1, 88)	0.5108	0.8235	ZN > 6.661 | CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 92)	0.5097	0.9739	CHAS > 0.173 | RM > 6.405 | RAD > 6.318 | PTRATIO > 17.416 | LSTAT > 9.251 | DIS <= 4.659
(-1, 93)	0.5086	0.8235	CHAS > 0.173 | DIS > 2.631 | AGE <= 31.342 | TAX <= 489.688
(-1, 62)	0.4960	0.5294	ZN > 50.558 | CHAS > 0.173 | NOX > 0.748 | INDUS <= 4.346 | PTRATIO <= 17.625 | LSTAT <= 9.251
(-1, 58)	0.4941	0.8203	ZN > 6.661 | CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | AGE <= 31.342 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 35)	0.4898	0.0719	RM > 6.405 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.823 & TAX <= 317.756 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 6)	0.4802	0.0327	ZN > 31.487 & RM > 6.405 & B > 350.428 & CRIM <= 7.209 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 39)	0.4558	0.0458	ZN > 21.951 & RM > 5.799 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.677 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 15.211
(-1, 78)	0.4380	0.7451	CHAS > 0.173 | DIS > 5.534 | INDUS <= 15.354 | TAX <= 375.675 | LSTAT <= 9.251
(-1, 40)	0.4256	0.0882	RM > 6.405 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 28)	0.4162	0.0458	RM > 5.799 & B > 350.428 & CRIM <= 7.209 & INDUS <= 4.346 & NOX <= 0.664 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 458.541 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 73)	0.4150	0.3725	RM > 6.405
(-1, 66)	0.4042	0.4902	AGE <= 72.357
(-1, 32)	0.3757	0.0392	ZN > 21.951 & RM > 5.799 & INDUS <= 4.346 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.866 & LSTAT <= 9.251
(-1, 57)	0.3704	0.7614	CHAS > 0.173 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 19)	0.3678	0.1928	RM > 6.405 & B > 350.428 & INDUS <= 10.197 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & LSTAT <= 9.251
(-1, 16)	0.3660	0.0752	RM > 5.799 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.677 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 71)	-0.3645	0.9967	INDUS > 4.346 | AGE > 31.342 | LSTAT > 13.079 | CHAS <= 0.326 | RM <= 6.405
(-1, 15)	0.3619	0.1438	RM > 6.405 & B > 309.410 & INDUS <= 12.800 & RAD <= 8.382 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 79)	0.3437	0.7908	ZN > 6.661 | RM > 6.405 | INDUS <= 4.346 | AGE <= 31.342 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 36)	0.3313	0.0817	RM > 5.799 & B > 350.428 & CRIM <= 7.209 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 12.319
(-1, 59)	0.3223	0.9739	RM > 5.799 | CRIM <= 10.909 | NOX <= 0.664 | AGE <= 51.269 | TAX <= 489.688 | LSTAT <= 15.211
(-1, 61)	0.3179	0.9706	RAD > 8.382 | B > 350.428 | INDUS <= 15.354 | NOX <= 0.562
(-1, 75)	0.3123	0.9967	CHAS > 0.173 | RM > 5.252 | B > 282.877 | CRIM <= 7.209 | INDUS <= 12.545 | NOX <= 0.677 | TAX <= 489.688 | LSTAT <= 15.211
(-1, 31)	0.3037	0.0654	B > 282.877 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 69)	0.2947	0.8856	B > 350.428 | INDUS <= 12.800
(-1, 44)	0.2780	0.0752	RM > 5.799 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.823 & TAX <= 317.756 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 33)	0.2743	0.1046	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & INDUS <= 10.197 & NOX <= 0.677 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 8)	0.2605	0.0948	ZN > 6.661 & INDUS <= 10.197 & RAD <= 8.823 & TAX <= 317.756 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 26)	0.2381	0.0719	RM > 6.405 & B > 282.877 & INDUS <= 4.346 & TAX <= 317.756 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 80)	0.2350	0.9967	RM > 5.252 | B > 282.877 | CRIM <= 10.909 | INDUS <= 15.354 | NOX <= 0.664 | AGE <= 72.357 | TAX <= 489.688 | LSTAT <= 13.079
(-1, 27)	0.2321	0.0458	ZN > 31.487 & RM > 5.799 & B > 309.410 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.625 & LSTAT <= 12.319
(-1, 49)	0.2211	0.0458	ZN > 31.487 & RM > 5.799 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 90)	0.2191	0.9935	B > 282.877 | CRIM <= 10.909 | RM <= 6.405
(-1, 42)	0.2167	0.0752	ZN > 6.661 & RM > 5.799 & B > 350.428 & INDUS <= 4.346 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 91)	0.2003	0.9935	ZN > 50.558 | CHAS > 0.173 | NOX > 0.748 | RM > 5.799 | B > 282.877 | CRIM <= 10.909 | AGE <= 51.269 | LSTAT <= 13.079
(-1, 45)	0.1868	0.0752	ZN > 6.661 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 20)	0.1772	0.0719	RM > 6.405 & B > 309.410 & INDUS <= 4.346 & TAX <= 317.756 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 89)	0.1610	0.6176	CHAS > 0.173 | NOX > 0.748 | AGE <= 31.342 | TAX <= 317.756
(-1, 63)	0.1581	0.9118	CRIM > 5.135 | NOX > 0.700 | RM > 5.799 | RAD > 6.318 | LSTAT <= 9.251
(-1, 83)	0.1423	0.9967	RM > 5.252 | B > 350.428 | NOX <= 0.664 | AGE <= 51.269 | LSTAT <= 15.211
(-1, 9)	0.1355	0.1013	B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 458.541 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 52)	-0.1173	0.1307	NOX > 0.700
(-1, 37)	-0.1119	0.0752	RM > 5.799 & B > 309.410 & INDUS <= 4.346 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 46)	0.1055	0.0719	RM > 6.405 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 53)	0.0832	0.1405	ZN > 31.487
(-1, 3)	0.0831	0.0425	ZN > 50.558 & RM > 5.799 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 85)	-0.0821	0.3366	CRIM > 10.909 | ZN > 31.487 | RM <= 5.799
(-1, 64)	0.0000	0.9542	INDUS > 10.197 | NOX > 0.562 | AGE > 72.357 | RAD > 8.382 | TAX > 317.756 | PTRATIO > 16.866 | ZN <= 31.487 | DIS <= 4.659
############################################################
