RID	MEDV_5.0(b=4.4338)	Support	Rule
(-1, 5)	0.4407	0.3301	RM > 6.405 & CRIM <= 7.209 & LSTAT <= 15.211
(-1, 12)	0.4377	0.6765	B > 350.428 & CRIM <= 10.909 & LSTAT <= 15.211
(-1, 56)	0.4343	0.9444	RM > 6.405 | CRIM <= 7.209 | NOX <= 0.677 | AGE <= 72.357 | RAD <= 15.934 | LSTAT <= 15.211
(-1, 55)	0.4313	0.8072	NOX > 0.562 | RAD > 6.318 | DIS <= 4.659 | PTRATIO <= 16.149
(-1, 20)	0.4310	0.6438	RM > 5.252 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & TAX <= 410.434
(-1, 65)	0.4286	0.9183	DIS > 2.631 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 79.783 | RAD <= 8.382 | LSTAT <= 15.211
(-1, 43)	0.4261	0.2614	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 9.251
(-1, 23)	0.4232	0.5556	RM > 5.372 & CRIM <= 10.909 & LSTAT <= 12.319
(-1, 24)	0.4179	0.5752	RM > 5.799 & B > 309.410 & CRIM <= 10.909 & NOX <= 0.677 & TAX <= 410.434
(-1, 13)	0.4163	0.3235	RM > 6.405 & CRIM <= 7.209 & NOX <= 0.677 & LSTAT <= 15.211
(-1, 30)	0.4155	0.2614	RM > 6.405 & B > 309.410 & CRIM <= 10.909 & NOX <= 0.664 & LSTAT <= 9.251
(-1, 68)	0.4150	0.9183	NOX > 0.748 | CRIM <= 7.209 | INDUS <= 12.545 | NOX <= 0.664 | RAD <= 15.934 | TAX <= 410.434 | LSTAT <= 15.211
(-1, 47)	0.4133	0.6438	RM > 5.252 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434
(-1, 44)	0.4120	0.1373	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 53)	0.4106	0.9771	RM > 5.799 | CRIM <= 10.909 | NOX <= 0.677 | AGE <= 72.357 | RAD <= 8.823 | TAX <= 489.688 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 15)	0.4046	0.2549	RM > 6.405 & B > 282.877 & CRIM <= 5.135 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 22)	0.4043	0.3791	B > 282.877 & CRIM <= 10.909 & LSTAT <= 9.251
(-1, 21)	0.4019	0.3235	RM > 6.405 & B > 350.428 & NOX <= 0.664
(-1, 33)	0.4003	0.2614	RM > 6.405 & B > 282.877 & NOX <= 0.664 & LSTAT <= 9.251
(-1, 11)	0.3983	0.3203	RM > 6.405 & CRIM <= 7.209 & LSTAT <= 12.319
(-1, 4)	0.3970	0.3791	B > 350.428 & CRIM <= 7.209 & LSTAT <= 9.251
(-1, 29)	0.3959	0.3137	RM > 6.405 & B > 282.877 & CRIM <= 5.135 & LSTAT <= 12.319
(-1, 41)	0.3948	0.6667	RM > 5.799 & B > 309.410 & CRIM <= 5.135
(-1, 18)	0.3899	0.6928	RM > 5.799 & B > 309.410 & CRIM <= 7.209
(-1, 2)	0.3819	0.2614	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & LSTAT <= 9.251
(-1, 16)	0.3813	0.1405	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & TAX <= 410.434 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 50)	0.3797	0.3235	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664
(-1, 34)	0.3769	0.3660	RM > 5.799 & NOX <= 0.664 & LSTAT <= 9.251
(-1, 46)	0.3740	0.7451	B > 350.428 & CRIM <= 10.909 & NOX <= 0.664
(-1, 19)	0.3724	0.2614	RM > 6.405 & CRIM <= 10.909 & NOX <= 0.677 & LSTAT <= 9.251
(-1, 1)	0.3670	0.1373	RM > 6.405 & CRIM <= 7.209 & NOX <= 0.664 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 31)	0.3635	0.3693	B > 282.877 & CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 9.251
(-1, 51)	-0.3361	0.6176	INDUS > 4.346 & PTRATIO > 17.416 & CHAS <= 0.173 & NOX <= 0.748
(-1, 39)	-0.2184	0.1667	DIS > 5.534 & PTRATIO > 16.149 & NOX <= 0.562
(-1, 17)	-0.1935	0.0294	CRIM > 10.909 & NOX > 0.677 & PTRATIO > 17.625 & LSTAT > 15.211
(-1, 28)	-0.1691	0.2288	DIS > 4.326 & PTRATIO > 17.625 & CHAS <= 0.173 & NOX <= 0.562
(-1, 0)	-0.1571	0.1830	DIS > 4.659 & PTRATIO > 17.625
(-1, 14)	-0.1497	0.1471	DIS > 3.180 & AGE <= 31.342
(-1, 37)	-0.1465	0.2353	DIS > 4.326 & PTRATIO > 17.416
(-1, 32)	-0.0564	0.0261	CRIM > 10.909 & LSTAT > 15.211 & RM <= 5.372
(-1, 10)	-0.0388	0.7026	PTRATIO > 17.625
(-1, 3)	-0.0287	0.2157	RAD > 8.823 & PTRATIO > 17.625
############################################################
