RID	MEDV_5.0(b=4.4338)	Support	Rule
(-1, 73)	1.0657	0.8333	CHAS > 0.173 | NOX > 0.700 | RM <= 6.405 | PTRATIO <= 17.416
(-1, 27)	0.8507	0.7810	CRIM <= 7.209 & NOX <= 0.664
(-1, 38)	0.8464	0.3333	RM > 6.405 & CRIM <= 10.909 & LSTAT <= 15.211
(-1, 25)	0.8204	0.2614	RM > 6.405 & CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 9.251
(-1, 61)	0.5802	0.5784	INDUS > 12.545 | CHAS > 0.173 | NOX > 0.700 | PTRATIO <= 17.416
(-1, 8)	0.5677	0.1373	RM > 6.405 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 410.434 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 75)	0.5210	0.9118	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | RM <= 6.405 | DIS <= 3.180 | PTRATIO <= 17.416
(-1, 63)	0.5131	0.4085	CHAS > 0.173 | NOX > 0.700 | RM <= 4.652 | PTRATIO <= 17.625
(-1, 69)	0.5104	0.9216	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | RM <= 6.405 | DIS <= 3.180 | PTRATIO <= 17.625
(-1, 71)	0.4935	0.8824	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | RM <= 6.405 | PTRATIO <= 17.416
(-1, 74)	0.4908	0.9706	CHAS > 0.173 | NOX > 0.748 | CRIM <= 10.909 | INDUS <= 12.545 | NOX <= 0.677 | AGE <= 72.357 | TAX <= 489.688 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 52)	0.4867	0.7222	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | AGE <= 72.357 | PTRATIO <= 17.625
(-1, 60)	0.4826	0.8954	CHAS > 0.173 | NOX > 0.748 | INDUS <= 15.354 | NOX <= 0.664 | AGE <= 72.357 | TAX <= 489.688 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 66)	0.4765	0.9771	RM > 5.372 | CRIM <= 10.909 | INDUS <= 12.800 | AGE <= 80.249 | TAX <= 458.541 | LSTAT <= 15.211
(-1, 70)	0.4708	0.8987	CHAS > 0.173 | NOX > 0.748 | DIS > 2.631 | INDUS <= 15.354 | NOX <= 0.664 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 7)	0.4702	0.6536	CRIM <= 7.209 & NOX <= 0.677 & LSTAT <= 15.211
(-1, 62)	0.4697	0.9346	CHAS > 0.173 | NOX > 0.748 | DIS > 2.631 | CRIM <= 7.209 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 72.357 | TAX <= 375.675 | PTRATIO <= 16.866 | LSTAT <= 15.211
(-1, 49)	0.4681	0.3170	RM > 6.405 & B > 282.877 & CRIM <= 7.209 & TAX <= 410.434
(-1, 76)	0.4675	0.9706	CHAS > 0.326 | RM > 5.799 | INDUS <= 12.545 | NOX <= 0.664 | AGE <= 80.249 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 45)	0.4617	0.3137	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & LSTAT <= 12.319
(-1, 36)	0.4602	0.3137	RM > 6.405 & NOX <= 0.677 & LSTAT <= 12.319
(-1, 64)	0.4583	0.8399	INDUS <= 12.545 | AGE <= 72.357 | TAX <= 410.434 | LSTAT <= 15.211
(-1, 42)	0.4569	0.3170	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & TAX <= 410.434
(-1, 58)	0.4557	0.8170	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 54)	0.4532	0.9510	RM > 6.405 | DIS > 2.631 | CRIM <= 7.209 | INDUS <= 12.545 | NOX <= 0.677 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 59)	0.4529	0.3889	CHAS > 0.173 | NOX > 0.700 | PTRATIO <= 17.416
(-1, 6)	0.4513	0.6438	RM > 5.372 & B > 350.428 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 35)	0.4504	0.3235	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 77)	0.4503	0.9281	CHAS > 0.173 | NOX > 0.748 | CRIM <= 7.209 | NOX <= 0.677 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 57)	0.4489	0.9771	RM > 5.372 | DIS > 2.631 | CRIM <= 10.909 | INDUS <= 15.354 | NOX <= 0.562 | AGE <= 72.357 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 72)	0.4485	0.8954	ZN > 6.661 | CHAS > 0.173 | DIS > 2.631 | INDUS <= 12.545 | NOX <= 0.677 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 67)	0.4454	0.8954	CHAS > 0.173 | INDUS <= 12.800 | NOX <= 0.664 | AGE <= 72.357 | TAX <= 489.688 | PTRATIO <= 16.866 | LSTAT <= 15.211
(-1, 48)	0.4454	0.3235	RM > 6.405 & LSTAT <= 12.319
(-1, 26)	0.4450	0.3235	RM > 6.405 & B > 350.428 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 40)	0.4439	0.6340	RM > 5.799 & CRIM <= 7.209 & LSTAT <= 15.211
(-1, 9)	0.4417	0.6928	CRIM <= 7.209 & LSTAT <= 15.211
