RID	y_no(b=1.8605)	y_yes(b=-2.8757)	Support	Rule
(-1, 0)	2.6370	-2.6317	0.7824	~month_mar & ~month_oct & ~month_sep & ~poutcome_success & duration <= 426.683
(-1, 1)	1.5974	-1.5995	0.8853	~poutcome_success & duration <= 622.818
(-1, 6)	1.5888	-1.5890	0.6798	~job_student & ~month_dec & ~month_feb & ~month_mar & ~month_oct & ~month_sep & ~poutcome_success & age <= 57.528 & duration <= 426.683
(-1, 10)	-1.4484	1.4477	0.5326	~contact_unknown & duration > 104.470
(-1, 2)	-1.4112	1.4096	0.4490	~contact_unknown & duration > 138.136
(-1, 3)	-1.1247	1.1254	0.2636	~job_blue-collar & ~loan_yes & ~contact_unknown & ~month_aug & ~month_jul & duration > 75.726
(-1, 11)	1.0975	-1.0954	0.7564	~month_jun & ~month_mar & ~month_oct & ~poutcome_success & duration <= 622.818
(-1, 8)	-0.9736	0.9706	0.2707	~housing_yes & ~loan_yes & ~contact_unknown & duration > 75.726
(-1, 7)	0.8363	-0.8375	0.6328	~marital_single & ~poutcome_success & duration <= 622.818
(-1, 4)	-0.7381	0.7367	0.5762	~month_nov & duration > 138.136
(-1, 5)	-0.6989	0.6964	0.6276	duration > 138.136
(-1, 9)	0.5643	-0.5664	0.9634	~poutcome_success
############################################################
