RID	y_no(b=0.2392)	y_yes(b=-0.2142)	Support	Rule
(-1, 1)	-0.6074	0.4801	0.0366	poutcome_success
(-1, 4)	-0.5306	0.5953	0.2205	month_mar | month_oct | month_sep | poutcome_success | age > 61.604 | duration > 442.610
(-1, 2)	0.5160	-0.3758	0.8514	duration <= 442.610
(-1, 3)	0.3596	-0.3995	0.2293	housing_yes & month_may & duration <= 442.610
(-1, 7)	0.2795	-0.3217	0.7147	contact_telephone | contact_unknown | month_aug | month_jan | month_jul | month_nov
(-1, 5)	0.2563	-0.1918	0.6883	housing_yes | loan_yes | contact_unknown
(-1, 6)	0.1524	-0.1743	0.2875	contact_unknown
(-1, 0)	0.1501	-0.0568	0.6006	marital_married
############################################################
