RID	MEDV_5.0(b=1.7693)	Support	Rule
(-1, 51)	2.0234	0.4542	CHAS > 0.173 | INDUS <= 4.346 | AGE <= 31.342 | PTRATIO <= 17.625
(-1, 23)	1.7436	0.0621	AGE > 31.342 & B > 350.428 & CRIM <= 7.209 & ZN <= 31.487 & NOX <= 0.677 & DIS <= 3.180 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 35)	1.3745	0.8627	ZN > 6.661 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 72.357 | LSTAT <= 13.079
(-1, 54)	1.3294	0.7941	ZN > 6.661 | DIS > 2.631 | INDUS <= 15.354 | NOX <= 0.562 | AGE <= 72.357 | TAX <= 375.675 | LSTAT <= 13.079
(-1, 26)	1.3191	0.1536	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & ZN <= 21.951 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & LSTAT <= 15.211
(-1, 60)	1.3131	0.6013	ZN > 31.487 | RAD > 6.318 | INDUS <= 4.346 | PTRATIO <= 16.149
(-1, 59)	1.2888	0.5817	AGE <= 72.357 | LSTAT <= 9.251
(-1, 56)	-1.1721	0.9183	CRIM > 5.135 | NOX > 0.677 | DIS > 5.534 | RAD > 8.382 | TAX > 458.541 | PTRATIO > 17.416 | LSTAT > 9.251 | RM <= 5.372 | AGE <= 31.342 | B <= 309.410
(-1, 55)	1.1430	0.7320	ZN > 6.661 | INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 18)	1.1231	0.1601	RM > 5.799 & AGE > 31.342 & B > 309.410 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 12.319
(-1, 83)	-1.0883	0.9902	ZN > 6.661 | NOX > 0.677 | RAD > 6.318 | TAX > 410.434 | INDUS <= 15.354 | RM <= 6.405 | AGE <= 72.357 | TAX <= 375.675
(-1, 1)	1.0702	0.1176	RM > 6.405 & AGE > 31.342 & B > 309.410 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 458.541 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 0)	1.0680	0.0196	INDUS > 15.354 & NOX > 0.562 & AGE > 31.342 & CRIM <= 5.135 & DIS <= 5.534 & LSTAT <= 9.251
(-1, 6)	1.0424	0.0654	RM > 5.799 & B > 350.428 & ZN <= 6.661 & NOX <= 0.664 & DIS <= 4.659 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 12.319
(-1, 14)	1.0418	0.0065	INDUS > 4.346 & RM > 6.405 & RAD > 6.318 & PTRATIO > 16.866 & B > 309.410 & CRIM <= 7.209 & ZN <= 6.661 & AGE <= 51.269 & DIS <= 4.659 & RAD <= 8.382 & TAX <= 410.434
(-1, 4)	1.0415	0.1634	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 458.541 & PTRATIO <= 17.416 & LSTAT <= 12.319
(-1, 30)	1.0275	0.0229	ZN > 50.558 & RM > 5.799 & AGE > 31.342 & DIS > 4.659 & B > 350.428 & CRIM <= 5.135 & INDUS <= 4.346 & NOX <= 0.562 & AGE <= 51.269 & RAD <= 6.318 & TAX <= 317.756 & LSTAT <= 12.319
(-1, 5)	0.9264	0.0098	INDUS > 15.354 & NOX > 0.562 & RM > 6.405 & AGE > 80.249 & TAX > 375.675 & CRIM <= 7.209 & ZN <= 6.661 & NOX <= 0.664 & DIS <= 2.631 & RAD <= 6.318 & TAX <= 410.434 & LSTAT <= 15.211
(-1, 47)	0.9205	0.8758	ZN > 6.661 | NOX <= 0.677 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 62)	-0.9056	0.6863	NOX > 0.664 | TAX > 410.434 | RM <= 6.405
(-1, 50)	0.8972	0.5915	INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 9.251
(-1, 40)	0.8904	0.6340	ZN > 21.951 | RM > 6.405 | INDUS <= 4.346 | LSTAT <= 12.319
(-1, 39)	0.8842	0.8529	ZN > 6.661 | DIS > 2.631 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 72.357 | TAX <= 375.675
(-1, 79)	-0.8592	0.8137	RAD > 8.382 | TAX > 317.756 | LSTAT > 12.319 | RM <= 6.405 | AGE <= 31.342
(-1, 38)	0.7652	0.6863	ZN > 6.661 | CHAS > 0.173 | INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 12.319
(-1, 21)	0.7364	0.0294	AGE > 31.342 & B > 309.410 & CRIM <= 5.135 & NOX <= 0.664 & DIS <= 3.180 & RAD <= 8.382 & TAX <= 458.541 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 2)	0.7020	0.2974	RM > 5.799 & AGE > 31.342 & B > 282.877 & NOX <= 0.664 & DIS <= 5.534 & RAD <= 8.382 & LSTAT <= 13.079
(-1, 8)	0.7019	0.3105	RM > 6.405 & B > 309.410 & CRIM <= 5.135 & RAD <= 8.382 & TAX <= 410.434 & LSTAT <= 12.319
(-1, 24)	0.6913	0.1830	NOX <= 0.677 & RAD <= 15.934 & TAX <= 458.541 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 25)	0.6687	0.0392	RM > 5.799 & AGE > 31.342 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & DIS <= 4.659 & RAD <= 8.382 & TAX <= 458.541 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 27)	0.6517	0.1667	RM > 5.372 & AGE > 31.342 & B > 309.410 & CRIM <= 7.209 & NOX <= 0.677 & RAD <= 8.823 & TAX <= 458.541 & PTRATIO <= 17.416 & LSTAT <= 15.211
(-1, 61)	0.6345	0.9216	ZN > 21.951 | NOX > 0.700 | DIS > 2.631 | INDUS <= 15.354 | NOX <= 0.562 | RM <= 5.252 | AGE <= 72.357 | RAD <= 8.823 | TAX <= 489.688 | PTRATIO <= 17.625
(-1, 57)	0.6296	0.9248	ZN > 6.661 | CHAS > 0.173 | NOX > 0.748 | CRIM <= 7.209 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 72.357 | TAX <= 375.675 | LSTAT <= 13.079
(-1, 58)	0.6258	0.8268	RM <= 5.799 | LSTAT <= 15.211
(-1, 76)	0.5804	0.9804	ZN > 6.661 | NOX > 0.700 | DIS > 2.631 | B > 309.410 | CRIM <= 5.135 | INDUS <= 4.346 | NOX <= 0.677 | RAD <= 15.934 | TAX <= 489.688 | PTRATIO <= 17.625
(-1, 72)	0.5682	0.8889	CHAS > 0.173 | RM > 5.799 | INDUS <= 4.346 | PTRATIO <= 16.149 | LSTAT <= 12.319
(-1, 74)	0.5670	0.8529	NOX > 0.700 | RM > 6.405 | DIS <= 4.659 | B <= 309.410
(-1, 37)	0.5626	0.9118	B > 309.410 | INDUS <= 4.346 | PTRATIO <= 17.625 | LSTAT <= 9.251
(-1, 73)	0.5564	0.9379	ZN > 6.661 | CHAS > 0.173 | NOX > 0.700 | DIS > 2.631 | CRIM <= 5.135 | INDUS <= 15.354 | NOX <= 0.562 | RM <= 5.372 | AGE <= 51.269 | TAX <= 489.688 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 42)	0.5457	0.9020	RM > 6.405 | DIS > 2.631 | INDUS <= 4.346 | RAD <= 8.823 | LSTAT <= 15.211
(-1, 9)	0.5324	0.0098	INDUS > 15.354 & NOX > 0.562 & RM > 5.799 & TAX > 375.675 & B > 350.428 & CRIM <= 5.135 & ZN <= 6.661 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434 & PTRATIO <= 17.416 & LSTAT <= 15.211
(-1, 52)	0.5230	0.9281	CRIM <= 7.209 | PTRATIO <= 17.416 | B <= 309.410 | LSTAT <= 15.211
(-1, 16)	0.5153	0.0588	RM > 5.799 & AGE > 31.342 & B > 309.410 & CRIM <= 5.135 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 22)	0.5148	0.0163	RM > 5.799 & AGE > 31.342 & B > 350.428 & CRIM <= 5.135 & INDUS <= 4.346 & NOX <= 0.677 & AGE <= 51.269 & DIS <= 5.534 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 80)	0.5068	0.9477	ZN > 6.661 | NOX > 0.700 | B > 350.428 | RM <= 4.652 | AGE <= 51.269 | TAX <= 317.756 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 32)	0.5029	0.8039	INDUS > 15.354 | CHAS > 0.173 | NOX > 0.562 | RM > 6.405 | RAD > 8.382 | TAX > 458.541 | LSTAT > 12.319
(-1, 12)	0.5016	0.0621	RM > 6.405 & B > 350.428 & DIS <= 5.534 & RAD <= 8.823 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 63)	0.4917	0.9739	ZN > 6.661 | CHAS > 0.173 | RM > 6.405 | CRIM <= 10.909 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 72.357 | TAX <= 489.688 | PTRATIO <= 17.416 | LSTAT <= 13.079
(-1, 11)	0.4914	0.0261	RM > 5.799 & AGE > 31.342 & B > 350.428 & CRIM <= 7.209 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 15)	0.4831	0.0980	RM > 5.799 & B > 350.428 & CRIM <= 7.209 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.823 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 45)	0.4785	0.8889	RM > 5.799 | LSTAT <= 15.211
(-1, 44)	0.4745	0.7516	RM > 6.405 | LSTAT <= 15.211
(-1, 7)	0.4619	0.1307	AGE > 31.342 & RAD <= 8.382 & TAX <= 489.688 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 19)	0.4497	0.0163	RM > 5.799 & AGE > 31.342 & B > 350.428 & CRIM <= 5.135 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 81)	0.4495	0.9575	ZN > 6.661 | CHAS > 0.173 | RM > 6.405 | DIS > 4.326 | CRIM <= 10.909 | INDUS <= 15.354 | NOX <= 0.562 | AGE <= 72.357 | TAX <= 489.688 | LSTAT <= 13.079
(-1, 43)	0.4481	0.8007	NOX > 0.700 | LSTAT <= 15.211
(-1, 64)	0.4435	0.9935	ZN > 6.661 | RM > 6.405 | B > 282.877 | CRIM <= 10.909 | NOX <= 0.664 | TAX <= 410.434 | PTRATIO <= 16.866
(-1, 66)	0.4434	0.9869	ZN > 6.661 | RM > 6.405 | B > 282.877 | CRIM <= 7.209 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 72.357 | TAX <= 458.541 | LSTAT <= 15.211
(-1, 53)	0.4389	0.9804	ZN > 6.661 | NOX > 0.748 | DIS > 2.631 | B > 282.877 | CRIM <= 7.209 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 80.249 | RAD <= 15.934 | TAX <= 489.688 | PTRATIO <= 17.625 | LSTAT <= 13.079
(-1, 17)	0.4341	0.2549	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 13)	0.4200	0.0131	INDUS > 15.354 & NOX > 0.562 & AGE > 79.783 & B > 350.428 & ZN <= 6.661 & DIS <= 4.326 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 10)	0.4183	0.0098	RM > 5.799 & AGE > 31.342 & B > 350.428 & CRIM <= 5.135 & INDUS <= 4.346 & AGE <= 51.269 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 48)	0.4161	0.9967	ZN > 6.661 | CHAS > 0.173 | RM > 5.799 | DIS > 2.631 | B > 282.877 | CRIM <= 10.909 | NOX <= 0.677 | AGE <= 72.357 | TAX <= 489.688 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 78)	0.4149	0.9837	ZN > 21.951 | RM > 6.405 | RAD > 6.318 | B > 350.428 | AGE <= 79.783 | PTRATIO <= 16.149 | LSTAT <= 15.211
(-1, 28)	0.4092	0.0980	CRIM <= 5.135 & INDUS <= 4.346 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 71)	0.3962	0.9314	CHAS > 0.326 | RM > 6.405 | CRIM <= 7.209 | AGE <= 80.249 | TAX <= 489.688 | LSTAT <= 15.211
(-1, 36)	0.3865	0.8693	ZN > 6.661 | CHAS > 0.173 | DIS > 2.631 | CRIM <= 5.135 | INDUS <= 15.354 | NOX <= 0.562 | AGE <= 72.357 | RAD <= 15.934 | TAX <= 489.688 | PTRATIO <= 17.625
(-1, 77)	0.3629	0.8791	NOX > 0.700 | DIS > 2.631 | INDUS <= 15.354 | NOX <= 0.562 | TAX <= 317.756 | LSTAT <= 12.319
(-1, 46)	0.3616	0.9706	ZN > 31.487 | DIS > 2.631 | B > 309.410 | CRIM <= 7.209 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 72.357 | RAD <= 15.934 | TAX <= 489.688 | PTRATIO <= 17.625
(-1, 69)	0.3607	0.9020	CHAS > 0.326 | RAD > 6.318 | INDUS <= 4.346 | PTRATIO <= 16.149 | LSTAT <= 15.211
(-1, 49)	-0.3438	0.8431	INDUS > 10.197 | AGE > 79.783 | TAX > 317.756 | LSTAT > 9.251 | RM <= 6.405 | DIS <= 2.631
(-1, 70)	0.3288	0.9477	ZN > 6.661 | CHAS > 0.173 | NOX > 0.700 | RM > 6.405 | DIS > 2.631 | CRIM <= 7.209 | INDUS <= 15.354 | AGE <= 72.357 | TAX <= 489.688 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 3)	0.2955	0.0033	CHAS > 0.326 & RM > 5.799 & AGE > 31.342 & B > 350.428 & CRIM <= 5.135 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 67)	0.2725	0.8954	ZN > 31.487 | NOX > 0.700 | DIS > 2.631 | AGE <= 72.357 | TAX <= 489.688 | PTRATIO <= 17.625 | LSTAT <= 9.251
(-1, 75)	0.2561	0.4183	CHAS > 0.326 | LSTAT <= 9.251
(-1, 68)	0.2484	0.7908	ZN > 21.951 | CHAS > 0.173 | DIS > 4.326 | AGE <= 72.357 | TAX <= 375.675 | LSTAT <= 15.211
(-1, 34)	0.2130	0.6373	ZN > 6.661 | CHAS > 0.173 | RM > 6.405 | INDUS <= 4.346 | AGE <= 51.269 | PTRATIO <= 17.625
(-1, 33)	0.2067	0.9739	RM > 5.799 | DIS > 2.631 | CRIM <= 7.209 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 80.249 | LSTAT <= 15.211
(-1, 20)	0.2024	0.0033	CHAS > 0.326 & RM > 6.405 & AGE > 31.342 & B > 350.428 & CRIM <= 5.135 & INDUS <= 4.346 & AGE <= 51.269 & DIS <= 5.534 & RAD <= 8.382 & TAX <= 458.541 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 31)	0.1860	0.5196	CHAS > 0.173 | RM > 6.405 | INDUS <= 4.346 | PTRATIO <= 17.625
(-1, 65)	0.1553	0.4379	ZN > 21.951 | INDUS <= 4.346 | LSTAT <= 9.251
(-1, 82)	0.0854	0.9052	CHAS > 0.173 | RM > 6.405 | CRIM <= 7.209 | INDUS <= 4.346 | TAX <= 489.688 | LSTAT <= 9.251
(-1, 41)	0.0656	0.9706	CHAS > 0.173 | DIS > 2.631 | CRIM <= 10.909 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 80.249 | TAX <= 489.688 | LSTAT <= 15.211
(-1, 29)	0.0533	0.0980	RM > 5.799 & CRIM <= 7.209 & INDUS <= 4.346 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 17.416 & LSTAT <= 9.251
############################################################
