RID	MEDV_5.0(b=1.7759)	Support	Rule
(-1, 18)	0.0814	0.7876	ZN > 31.487 | TAX > 458.541 | RM <= 6.405
(-1, 0)	-0.0798	0.2157	RAD > 8.823
(-1, 22)	0.0787	0.8235	RM <= 6.405 | DIS <= 4.326
(-1, 4)	-0.0786	0.8137	INDUS > 4.346
(-1, 23)	0.0731	0.1797	RM <= 5.799
(-1, 14)	0.0731	0.6307	NOX <= 0.562
(-1, 31)	0.0630	0.6373	INDUS <= 10.197
(-1, 24)	0.0626	0.9673	RM > 5.252 | INDUS <= 15.354
(-1, 26)	0.0615	0.6667	INDUS <= 12.800
(-1, 15)	0.0602	0.9608	PTRATIO > 17.625 | NOX <= 0.700
(-1, 2)	-0.0602	0.5850	AGE <= 79.783
(-1, 9)	0.0585	0.9444	NOX <= 0.748
(-1, 7)	-0.0584	0.2974	PTRATIO <= 17.625
(-1, 29)	0.0577	0.1046	B <= 309.410
(-1, 3)	-0.0551	0.2418	INDUS > 12.545 & TAX > 410.434
(-1, 17)	0.0549	0.8039	ZN <= 21.951
(-1, 12)	0.0541	0.1438	B <= 350.428
(-1, 6)	-0.0452	0.6078	B > 282.877 & LSTAT <= 13.079
(-1, 19)	0.0445	0.7549	RAD > 6.318 | PTRATIO > 17.625
(-1, 16)	0.0441	0.0458	RM <= 5.252
(-1, 30)	0.0403	0.9444	CHAS <= 0.173
(-1, 21)	0.0373	0.8954	B > 309.410
(-1, 5)	-0.0358	0.1732	NOX > 0.677
(-1, 8)	-0.0344	0.4967	TAX > 317.756
(-1, 28)	0.0235	0.7026	PTRATIO > 17.625
(-1, 20)	0.0225	0.6340	RM <= 5.372 | AGE <= 79.783
(-1, 11)	0.0223	0.1307	CRIM > 7.209
(-1, 27)	0.0218	0.7843	AGE <= 31.342 | RAD <= 8.823
(-1, 10)	0.0091	0.7745	ZN > 21.951 | AGE <= 51.269 | TAX <= 489.688
(-1, 13)	-0.0027	0.7614	ZN > 6.661 | AGE > 80.249 | TAX > 375.675
(-1, 1)	-0.0025	0.5196	PTRATIO > 17.625 & DIS <= 4.659
(-1, 25)	0.0009	0.4248	ZN > 21.951 | TAX > 458.541
############################################################
