RID	MEDV_5.0(b=13.8669)	Support	Rule
(-1, 35)	0.7825	0.3235	RM > 6.405 & CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 7)	0.7493	0.6340	RM > 5.799 & CRIM <= 7.209 & LSTAT <= 15.211
(-1, 36)	0.4361	0.3235	RM > 6.405 & B > 350.428 & LSTAT <= 12.319
(-1, 30)	0.4308	0.3137	RM > 6.405 & B > 282.877 & NOX <= 0.677 & LSTAT <= 12.319
(-1, 40)	0.4290	0.3170	RM > 6.405 & B > 282.877 & CRIM <= 7.209 & TAX <= 410.434
(-1, 3)	0.4279	0.3301	RM > 6.405 & CRIM <= 7.209 & LSTAT <= 15.211
(-1, 29)	0.4253	0.3170	RM > 6.405 & CRIM <= 5.135 & TAX <= 410.434 & LSTAT <= 15.211
(-1, 21)	0.4252	0.3333	RM > 6.405 & B > 350.428 & LSTAT <= 15.211
(-1, 39)	0.4231	0.3235	RM > 6.405 & LSTAT <= 12.319
(-1, 33)	0.4166	0.3170	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & TAX <= 410.434
(-1, 31)	0.4112	0.3333	RM > 6.405 & CRIM <= 10.909 & LSTAT <= 15.211
(-1, 43)	0.4081	0.3301	RM > 6.405 & B > 309.410 & CRIM <= 7.209 & LSTAT <= 15.211
(-1, 24)	0.3993	0.3235	RM > 6.405 & B > 309.410 & CRIM <= 10.909 & NOX <= 0.664
(-1, 34)	0.3943	0.3268	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & LSTAT <= 13.079
(-1, 5)	0.3910	0.6928	CRIM <= 7.209 & LSTAT <= 15.211
(-1, 22)	0.3907	0.7810	CRIM <= 7.209 & NOX <= 0.677
(-1, 10)	0.3904	0.6307	RM > 5.252 & CRIM <= 7.209 & TAX <= 458.541 & LSTAT <= 15.211
(-1, 15)	0.3861	0.8203	RM > 5.252 & B > 350.428
(-1, 9)	0.3834	0.3203	RM > 6.405 & B > 309.410 & CRIM <= 7.209 & LSTAT <= 12.319
(-1, 16)	0.3789	0.3235	RM > 6.405 & B > 350.428 & NOX <= 0.664
(-1, 1)	0.3771	0.6667	B > 350.428 & CRIM <= 5.135 & TAX <= 410.434
(-1, 18)	0.3760	0.5556	RM > 5.372 & CRIM <= 10.909 & LSTAT <= 12.319
(-1, 4)	0.3742	0.6111	RM > 5.372 & B > 350.428 & TAX <= 458.541 & LSTAT <= 15.211
(-1, 8)	0.3703	0.5588	CRIM <= 7.209 & LSTAT <= 12.319
(-1, 41)	0.3692	0.7353	B > 350.428 & CRIM <= 7.209 & NOX <= 0.664
(-1, 27)	0.3663	0.3235	RM > 6.405 & B > 282.877 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 13)	0.3636	0.6928	RM > 5.799 & B > 309.410 & CRIM <= 7.209
(-1, 11)	0.3626	0.3170	RM > 6.405 & B > 282.877 & CRIM <= 5.135 & TAX <= 410.434 & LSTAT <= 15.211
(-1, 28)	0.3615	0.3235	RM > 6.405 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 19)	0.3603	0.6471	RM > 5.372 & B > 309.410 & CRIM <= 10.909 & NOX <= 0.677 & TAX <= 410.434
(-1, 38)	0.3597	0.6438	RM > 5.252 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434
(-1, 17)	0.3554	0.6928	B > 282.877 & CRIM <= 10.909 & LSTAT <= 15.211
(-1, 25)	0.3536	0.8235	B > 282.877 & CRIM <= 7.209
(-1, 20)	0.3527	0.3399	RM > 6.405 & CRIM <= 7.209
(-1, 23)	0.3510	0.5425	B > 282.877 & CRIM <= 5.135 & LSTAT <= 12.319
(-1, 37)	0.3494	0.7451	B > 350.428 & CRIM <= 10.909 & NOX <= 0.664
(-1, 26)	0.3468	0.8693	CRIM <= 7.209
(-1, 2)	0.3453	0.8105	B > 309.410 & CRIM <= 7.209
(-1, 14)	0.3436	0.6471	RM > 5.799 & LSTAT <= 15.211
(-1, 32)	0.3364	0.5784	RM > 5.799 & B > 309.410 & CRIM <= 7.209 & TAX <= 410.434
(-1, 12)	0.3237	0.3170	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & TAX <= 410.434
(-1, 0)	0.3203	0.3203	RM > 6.405 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 458.541 & LSTAT <= 15.211
(-1, 6)	-0.0687	0.0752	CRIM > 7.209 & INDUS > 15.354 & RAD > 15.934 & PTRATIO > 17.625 & LSTAT > 15.211 & RM <= 6.405
(-1, 42)	-0.0516	0.1634	INDUS > 12.545 & TAX > 317.756 & PTRATIO > 17.416 & LSTAT > 12.319 & RM <= 6.405
############################################################
