RID	y_no(b=2.8961)	y_yes(b=-2.5945)	Support	Rule
(-1, 6)	2.7079	-2.7082	0.6956	~job_student & ~month_feb & ~month_mar & ~month_oct & ~month_sep & ~poutcome_success & duration <= 381.988
(-1, 5)	2.3083	-2.3087	0.7908	~month_mar & ~month_oct & ~poutcome_success & duration <= 426.683
(-1, 3)	2.1337	-2.1339	0.7469	~job_retired & ~month_dec & ~month_mar & ~month_oct & ~month_sep & ~poutcome_success & duration <= 426.683
(-1, 4)	-1.9373	1.9378	0.3081	~job_blue-collar & ~contact_unknown & ~month_jan & ~month_nov & duration > 139.786
(-1, 8)	-1.6000	1.6006	0.4457	~loan_yes & ~contact_unknown & duration > 104.470
(-1, 7)	-1.5340	1.5345	0.4276	~contact_unknown & ~month_jul & duration > 104.470
(-1, 0)	1.1587	-1.1582	0.6716	~poutcome_success & duration <= 272.316
(-1, 2)	-1.1564	1.1564	0.4800	duration > 188.419
(-1, 1)	0.9920	-0.9931	0.9634	~poutcome_success
############################################################
