RID	MEDV_5.0(b=1.0692)	Support	Rule
(-1, 12)	0.0844	0.1405	ZN > 31.487
(-1, 14)	0.0817	0.6275	RM <= 6.405
(-1, 11)	0.0803	0.7810	PTRATIO > 16.866
(-1, 15)	0.0761	0.1797	RM <= 5.799
(-1, 8)	0.0761	0.6307	NOX <= 0.562
(-1, 13)	0.0739	0.7026	PTRATIO > 17.625
(-1, 9)	0.0632	0.8693	NOX <= 0.700
(-1, 4)	0.0615	0.9444	NOX <= 0.748
(-1, 2)	-0.0614	0.2974	PTRATIO <= 17.625
(-1, 0)	-0.0581	0.2908	TAX > 410.434
(-1, 1)	-0.0482	0.6144	LSTAT <= 13.079
(-1, 10)	0.0471	0.0458	RM <= 5.252
(-1, 16)	0.0441	0.2190	PTRATIO <= 16.866
(-1, 3)	-0.0374	0.4967	TAX > 317.756
(-1, 5)	0.0121	0.1961	ZN > 21.951
(-1, 6)	0.0108	0.1438	B <= 350.428
(-1, 17)	0.0038	0.2320	TAX > 458.541
(-1, 7)	0.0002	0.4052	AGE > 80.249
############################################################
