RID	MEDV_5.0(b=11.5520)	Support	Rule
(-1, 3)	0.9235	0.6928	CRIM <= 7.209 & LSTAT <= 15.211
(-1, 7)	0.6104	0.6863	B > 309.410 & CRIM <= 10.909 & LSTAT <= 15.211
(-1, 24)	0.5735	0.8693	CRIM <= 7.209
(-1, 6)	0.5681	0.6340	RM > 5.799 & CRIM <= 7.209 & LSTAT <= 15.211
(-1, 33)	0.3435	0.6732	RM > 5.372 & B > 350.428 & LSTAT <= 15.211
(-1, 37)	0.3417	0.7026	RM > 5.799 & B > 282.877 & CRIM <= 7.209
(-1, 27)	0.3404	0.6634	RM > 5.252 & CRIM <= 5.135 & LSTAT <= 15.211
(-1, 19)	0.3377	0.6797	B > 350.428 & LSTAT <= 15.211
(-1, 28)	0.3329	0.7026	RM > 5.372 & LSTAT <= 15.211
(-1, 31)	0.3318	0.7876	B > 350.428 & CRIM <= 7.209
(-1, 36)	0.3275	0.6471	RM > 5.799 & LSTAT <= 15.211
(-1, 38)	0.3264	0.6536	CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 29)	0.3259	0.6993	CRIM <= 10.909 & LSTAT <= 15.211
(-1, 20)	0.3172	0.7810	CRIM <= 7.209 & NOX <= 0.677
(-1, 22)	0.3168	0.7614	B > 309.410 & CRIM <= 10.909 & NOX <= 0.664
(-1, 13)	0.3091	0.9542	RM > 5.252
(-1, 8)	0.3089	0.6307	RM > 5.252 & CRIM <= 7.209 & TAX <= 458.541 & LSTAT <= 15.211
(-1, 1)	0.2990	0.8301	CRIM <= 5.135
(-1, 14)	0.2975	0.8137	NOX <= 0.664
(-1, 4)	0.2943	0.6373	TAX <= 458.541 & LSTAT <= 15.211
(-1, 16)	0.2898	0.9118	RM > 5.372 & CRIM <= 10.909
(-1, 25)	0.2880	0.7843	B > 282.877 & NOX <= 0.664
(-1, 35)	0.2822	0.7418	RM > 5.252 & B > 309.410 & CRIM <= 7.209 & NOX <= 0.664
(-1, 17)	0.2819	0.8268	RM > 5.372 & B > 309.410 & CRIM <= 10.909
(-1, 9)	0.2804	0.6569	RM > 5.252 & B > 282.877 & CRIM <= 5.135 & LSTAT <= 15.211
(-1, 32)	0.2785	0.6503	RM > 5.372 & CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 11)	0.2753	0.6928	RM > 5.799 & B > 309.410 & CRIM <= 7.209
(-1, 23)	0.2748	0.8235	B > 282.877 & CRIM <= 7.209
(-1, 18)	0.2744	0.8105	B > 309.410 & CRIM <= 7.209
(-1, 26)	0.2733	0.7157	LSTAT <= 15.211
(-1, 15)	0.2724	0.6928	B > 282.877 & CRIM <= 10.909 & LSTAT <= 15.211
(-1, 21)	0.2721	0.9085	B > 282.877
(-1, 34)	0.2708	0.7974	CRIM <= 10.909 & NOX <= 0.664
(-1, 2)	0.2672	0.7386	B > 309.410 & CRIM <= 7.209 & TAX <= 489.688
(-1, 5)	0.2670	0.5000	RM > 5.799 & B > 282.877 & NOX <= 0.677 & TAX <= 489.688 & LSTAT <= 12.319
(-1, 12)	0.2653	0.8203	RM > 5.799
(-1, 30)	0.2588	0.7876	RM > 5.252 & B > 309.410 & CRIM <= 7.209
(-1, 0)	0.2495	0.5752	RM > 5.799 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 458.541 & LSTAT <= 15.211
(-1, 10)	0.2398	0.6569	RM > 5.799 & B > 350.428 & CRIM <= 5.135
############################################################
