RID	y_no(b=2.2057)	y_yes(b=-2.2416)	Support	Rule
(-1, 6)	2.3467	-2.3467	0.7228	~job_student & ~month_feb & ~month_mar & ~month_oct & ~month_sep & ~poutcome_success & duration <= 426.683
(-1, 11)	2.2826	-2.2826	0.8533	~month_mar & ~month_oct & ~month_sep & ~poutcome_success & duration <= 622.818
(-1, 10)	-2.0485	2.0486	0.1551	~housing_yes & ~loan_yes & ~contact_unknown & ~month_aug & ~month_oct & duration > 75.726 & duration <= 622.818
(-1, 2)	-1.6261	1.6260	0.3435	~contact_unknown & ~month_feb & ~month_jan & ~month_nov & duration > 138.136
(-1, 3)	1.3834	-1.3834	0.7685	~month_mar & ~month_oct & age <= 57.528 & duration <= 426.683
(-1, 1)	1.2766	-1.2767	0.8853	~poutcome_success & duration <= 622.818
(-1, 0)	-1.2326	1.2325	0.4046	~contact_unknown & ~month_jan & ~month_jul & duration > 104.470
(-1, 5)	0.9938	-0.9938	0.8116	~poutcome_success & duration <= 426.683
(-1, 9)	0.9799	-0.9800	0.5079	marital_married & ~marital_single & ~month_jun & ~poutcome_success
(-1, 4)	-0.9493	0.9496	0.6276	duration > 138.136
(-1, 7)	-0.7295	0.7294	0.4490	~contact_unknown & duration > 138.136
(-1, 8)	-0.5876	0.5880	0.5825	duration > 75.726 & campaign <= 2.684
############################################################
