2025-12-23 21:21:40,896 - [INFO] - ------ ------ task type is regression ------ ------
2025-12-23 21:21:45,422 - [INFO] - ------------------------------------------------------------
2025-12-23 21:21:45,422 - [INFO] - On Validation Set (Regression):
	MSE of RRL  Model: 490.96722412109375
	MAE of RRL  Model: 21.393795013427734
	R2  of RRL  Model: -13.714553833007812
2025-12-23 21:21:45,422 - [INFO] - ------------------------------------------------------------
2025-12-23 21:21:45,487 - [INFO] - epoch: 0, loss_rrl: 2514.347930908203
2025-12-23 21:21:45,554 - [INFO] - epoch: 1, loss_rrl: 2218.4207153320312
2025-12-23 21:21:45,625 - [INFO] - epoch: 2, loss_rrl: 2053.856475830078
2025-12-23 21:21:45,704 - [INFO] - epoch: 3, loss_rrl: 1940.8503723144531
2025-12-23 21:21:45,771 - [INFO] - epoch: 4, loss_rrl: 1853.1042175292969
2025-12-23 21:21:45,850 - [INFO] - epoch: 5, loss_rrl: 1778.5713653564453
2025-12-23 21:21:45,926 - [INFO] - epoch: 6, loss_rrl: 1712.0940856933594
2025-12-23 21:21:45,984 - [INFO] - epoch: 7, loss_rrl: 1647.808120727539
2025-12-23 21:21:46,006 - [INFO] - epoch: 8, loss_rrl: 1586.0428009033203
2025-12-23 21:21:46,028 - [INFO] - epoch: 9, loss_rrl: 1526.2923583984375
2025-12-23 21:21:46,052 - [INFO] - epoch: 10, loss_rrl: 1468.8048248291016
2025-12-23 21:21:46,074 - [INFO] - epoch: 11, loss_rrl: 1413.7522430419922
2025-12-23 21:21:46,095 - [INFO] - epoch: 12, loss_rrl: 1359.4357147216797
2025-12-23 21:21:46,118 - [INFO] - epoch: 13, loss_rrl: 1307.94873046875
2025-12-23 21:21:46,139 - [INFO] - epoch: 14, loss_rrl: 1258.6762237548828
2025-12-23 21:21:46,161 - [INFO] - epoch: 15, loss_rrl: 1210.0341339111328
2025-12-23 21:21:46,186 - [INFO] - epoch: 16, loss_rrl: 1164.5629425048828
2025-12-23 21:21:46,210 - [INFO] - epoch: 17, loss_rrl: 1121.021957397461
2025-12-23 21:21:46,234 - [INFO] - epoch: 18, loss_rrl: 1079.3680267333984
2025-12-23 21:21:46,258 - [INFO] - epoch: 19, loss_rrl: 1039.5593185424805
2025-12-23 21:21:46,285 - [INFO] - epoch: 20, loss_rrl: 1001.5453033447266
2025-12-23 21:21:46,319 - [INFO] - epoch: 21, loss_rrl: 965.2666168212891
2025-12-23 21:21:46,397 - [INFO] - epoch: 22, loss_rrl: 930.6680297851562
2025-12-23 21:21:46,473 - [INFO] - epoch: 23, loss_rrl: 897.6941909790039
2025-12-23 21:21:46,544 - [INFO] - epoch: 24, loss_rrl: 865.7545776367188
2025-12-23 21:21:46,620 - [INFO] - epoch: 25, loss_rrl: 835.4507369995117
2025-12-23 21:21:46,696 - [INFO] - epoch: 26, loss_rrl: 806.564453125
2025-12-23 21:21:46,774 - [INFO] - epoch: 27, loss_rrl: 779.0480117797852
2025-12-23 21:21:46,842 - [INFO] - epoch: 28, loss_rrl: 752.9020156860352
2025-12-23 21:21:46,919 - [INFO] - epoch: 29, loss_rrl: 728.1015014648438
2025-12-23 21:21:46,997 - [INFO] - epoch: 30, loss_rrl: 704.6084060668945
2025-12-23 21:21:47,058 - [INFO] - epoch: 31, loss_rrl: 682.3784484863281
2025-12-23 21:21:47,132 - [INFO] - epoch: 32, loss_rrl: 661.3641319274902
2025-12-23 21:21:47,210 - [INFO] - epoch: 33, loss_rrl: 641.5169639587402
2025-12-23 21:21:47,278 - [INFO] - epoch: 34, loss_rrl: 622.7887878417969
2025-12-23 21:21:47,356 - [INFO] - epoch: 35, loss_rrl: 605.1320343017578
2025-12-23 21:21:47,433 - [INFO] - epoch: 36, loss_rrl: 588.5001068115234
2025-12-23 21:21:47,503 - [INFO] - epoch: 37, loss_rrl: 572.8474540710449
2025-12-23 21:21:47,525 - [INFO] - epoch: 38, loss_rrl: 558.1300582885742
2025-12-23 21:21:47,547 - [INFO] - epoch: 39, loss_rrl: 544.3048095703125
2025-12-23 21:21:47,569 - [INFO] - epoch: 40, loss_rrl: 530.7067070007324
2025-12-23 21:21:47,591 - [INFO] - epoch: 41, loss_rrl: 518.1658935546875
2025-12-23 21:21:47,613 - [INFO] - epoch: 42, loss_rrl: 505.71296310424805
2025-12-23 21:21:47,635 - [INFO] - epoch: 43, loss_rrl: 488.7882423400879
2025-12-23 21:21:47,657 - [INFO] - epoch: 44, loss_rrl: 473.5740146636963
2025-12-23 21:21:47,680 - [INFO] - epoch: 45, loss_rrl: 460.51118087768555
2025-12-23 21:21:47,701 - [INFO] - epoch: 46, loss_rrl: 448.2085838317871
2025-12-23 21:21:47,723 - [INFO] - epoch: 47, loss_rrl: 437.26922607421875
2025-12-23 21:21:47,745 - [INFO] - epoch: 48, loss_rrl: 424.62437629699707
2025-12-23 21:21:47,767 - [INFO] - epoch: 49, loss_rrl: 414.3878574371338
2025-12-23 21:21:47,789 - [INFO] - epoch: 50, loss_rrl: 405.45790672302246
2025-12-23 21:21:47,811 - [INFO] - epoch: 51, loss_rrl: 392.15563583374023
2025-12-23 21:21:47,834 - [INFO] - epoch: 52, loss_rrl: 382.2888603210449
2025-12-23 21:21:47,858 - [INFO] - epoch: 53, loss_rrl: 373.82456398010254
