RID	y_no(b=0.2246)	y_yes(b=-0.0834)	Support	Rule
(-1, 4)	-0.6252	0.6629	0.2205	month_mar | month_oct | month_sep | poutcome_success | age > 61.604 | duration > 442.610
(-1, 6)	0.3019	-0.3793	0.7470	housing_yes | contact_unknown | month_aug
(-1, 7)	0.3098	-0.3534	0.5463	contact_unknown | month_jan | month_jul | month_nov
(-1, 1)	-0.3082	0.1705	0.0366	poutcome_success
(-1, 2)	0.2958	-0.2711	0.6963	poutcome_unknown & duration <= 442.610
(-1, 5)	0.2476	-0.1808	0.5024	job_blue-collar | contact_unknown | month_may
(-1, 3)	0.1817	-0.2240	0.8514	duration <= 442.610
(-1, 0)	0.1184	-0.0222	0.6006	marital_married
############################################################
