RID	MEDV_5.0(b=3.7840)	Support	Rule
(-1, 10)	1.7687	0.2614	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 9.251
(-1, 34)	1.2252	0.2614	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.677 & LSTAT <= 9.251
(-1, 41)	1.1109	0.1046	RM > 6.405 & AGE > 31.342 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 6)	0.8900	0.3660	RM > 5.799 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.677 & LSTAT <= 9.251
(-1, 4)	0.7688	0.2647	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & LSTAT <= 9.251
(-1, 35)	0.6798	0.1961	B > 350.428 & CRIM <= 10.909 & ZN <= 21.951 & DIS <= 3.180 & LSTAT <= 15.211
(-1, 49)	0.6566	0.6601	CHAS > 0.326 | NOX > 0.700 | DIS > 5.534 | INDUS <= 4.346 | RM <= 4.652 | AGE <= 51.269 | PTRATIO <= 17.625
(-1, 58)	0.6565	0.7222	INDUS > 12.545 | CHAS > 0.326 | NOX > 0.700 | TAX > 375.675 | INDUS <= 4.346 | PTRATIO <= 17.416
(-1, 68)	0.6491	0.8922	CHAS > 0.326 | NOX > 0.700 | INDUS <= 4.346 | RM <= 6.405 | PTRATIO <= 17.625
(-1, 74)	0.6219	0.8824	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | RM <= 6.405 | PTRATIO <= 17.416
(-1, 72)	0.6077	0.4575	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | PTRATIO <= 17.416
(-1, 28)	-0.5825	0.1895	RM > 6.405 & DIS > 3.180 & INDUS <= 12.545 & CHAS <= 0.173 & NOX <= 0.562 & LSTAT <= 9.251
(-1, 38)	-0.5700	0.1667	DIS > 5.534 & INDUS <= 12.545 & CHAS <= 0.173 & NOX <= 0.562 & RAD <= 6.318
(-1, 57)	0.5541	0.8268	CHAS > 0.173 | INDUS <= 15.354 | NOX <= 0.562 | TAX <= 375.675 | LSTAT <= 15.211
(-1, 54)	0.5498	0.8203	INDUS <= 12.545 | TAX <= 375.675 | LSTAT <= 15.211
