RID	MEDV_5.0(b=2.4461)	Support	Rule
(-1, 21)	0.0764	0.7876	ZN > 31.487 | TAX > 458.541 | RM <= 6.405
(-1, 0)	-0.0748	0.2157	RAD > 8.823
(-1, 26)	0.0737	0.8235	RM <= 6.405 | DIS <= 4.326
(-1, 7)	-0.0736	0.1699	INDUS > 4.346 & RM <= 5.799
(-1, 11)	-0.0691	0.6830	RAD <= 6.318
(-1, 27)	0.0681	0.9739	INDUS > 12.800 | INDUS <= 10.197 | RM <= 5.799
(-1, 18)	0.0681	0.6307	NOX <= 0.562
(-1, 10)	-0.0623	0.0654	CRIM > 10.909
(-1, 34)	0.0580	0.8399	RAD > 8.382 | INDUS <= 10.197
(-1, 28)	0.0577	0.9673	RM > 5.252 | INDUS <= 15.354 | AGE <= 79.783
(-1, 19)	0.0552	0.9608	PTRATIO > 17.625 | NOX <= 0.700
(-1, 5)	-0.0552	0.0033	CRIM > 10.909 & B > 282.877 & AGE <= 79.783
(-1, 15)	0.0535	0.9444	NOX <= 0.748
(-1, 13)	-0.0534	0.2974	CRIM <= 5.135 & RAD <= 15.934 & PTRATIO <= 17.625
(-1, 32)	0.0527	0.9542	CRIM <= 10.909 | B <= 309.410
(-1, 6)	-0.0501	0.1144	INDUS > 12.545 & AGE > 51.269 & TAX > 410.434 & CRIM <= 7.209
(-1, 24)	0.0413	0.1438	B <= 350.428
(-1, 9)	-0.0412	0.0458	CRIM > 5.135 & RM > 6.405
(-1, 4)	-0.0398	0.0261	AGE <= 31.342 & PTRATIO <= 16.149
(-1, 22)	0.0395	0.9706	RAD > 6.318 | PTRATIO > 17.625 | CHAS <= 0.173
(-1, 20)	0.0391	0.0458	RM <= 5.252
(-1, 33)	0.0353	0.9641	INDUS > 12.545 | RAD > 8.823 | CHAS <= 0.173
(-1, 3)	-0.0328	0.0915	B <= 282.877
(-1, 29)	0.0313	0.6765	AGE > 51.269
(-1, 8)	-0.0308	0.1732	NOX > 0.677
(-1, 14)	-0.0294	0.4967	TAX > 317.756
(-1, 31)	0.0185	0.9412	PTRATIO > 17.625 | LSTAT <= 13.079
(-1, 25)	0.0176	0.6340	RM <= 5.372 | AGE <= 79.783
(-1, 16)	0.0173	0.2288	CRIM > 7.209 | ZN > 50.558
(-1, 30)	0.0168	0.9837	ZN > 6.661 | NOX <= 0.748 | AGE <= 31.342 | RAD <= 8.823
(-1, 23)	0.0148	0.6209	LSTAT > 9.251
(-1, 1)	-0.0139	0.7876	DIS <= 5.534
(-1, 12)	-0.0088	0.1405	ZN > 31.487
(-1, 17)	-0.0076	0.9869	ZN > 6.661 | AGE > 80.249 | TAX > 375.675 | INDUS <= 12.800
(-1, 2)	0.0025	0.1176	INDUS > 10.197 & PTRATIO > 17.625 & DIS <= 4.659 & LSTAT <= 15.211
############################################################
