RID	y_no(b=0.9664)	y_yes(b=-0.8810)	Support	Rule
(-1, 4)	-1.4714	1.4755	0.2205	month_mar | month_oct | month_sep | poutcome_success | age > 61.604 | duration > 442.610
(-1, 1)	-0.7352	0.7346	0.0366	poutcome_success
(-1, 6)	0.5292	-0.5329	0.8143	job_entrepreneur | housing_yes | loan_yes | contact_unknown | month_aug | month_jan
(-1, 7)	0.5324	-0.5287	0.5463	contact_unknown | month_jan | month_jul | month_nov
(-1, 0)	0.4808	-0.4756	0.6963	poutcome_unknown & duration <= 442.610
(-1, 2)	0.4009	-0.4000	0.4529	housing_yes & duration <= 442.610 & previous <= 4.918
(-1, 3)	0.3038	-0.3067	0.2293	housing_yes & month_may & duration <= 442.610
(-1, 5)	0.2539	-0.2512	0.2875	contact_unknown
############################################################
