RID	y_no(b=-0.4361)	y_yes(b=0.8000)	Support	Rule
(-1, 5)	-1.2983	1.3031	0.0283	poutcome_success & duration > 138.136
(-1, 10)	0.7500	-0.7139	0.8055	job_blue-collar | contact_unknown | month_aug | month_jan | month_jul | month_nov | duration > 622.818 | duration <= 75.726
(-1, 2)	0.6704	-0.6560	0.9197	duration <= 622.818
(-1, 1)	0.6277	-0.6086	0.6927	duration <= 426.683 & pdays <= 39.144
(-1, 4)	0.5651	-0.5305	0.2271	housing_yes & month_may & duration <= 426.683
(-1, 8)	-0.5112	0.5123	0.6276	duration > 138.136
(-1, 9)	0.3824	-0.4085	0.7812	housing_yes | loan_yes | contact_unknown | month_feb | duration <= 104.470
(-1, 6)	0.3215	-0.3578	0.8578	age <= 57.528 & duration <= 622.818
(-1, 11)	0.3191	-0.2719	0.5332	contact_unknown | month_jan | month_may | month_nov
(-1, 3)	-0.2052	0.2368	0.7458	duration > 104.470
(-1, 0)	0.1895	-0.1948	0.6006	marital_married
(-1, 7)	0.1488	-0.1819	0.8432	duration <= 426.683
############################################################
