RID	MEDV_5.0(b=13.9003)	Support	Rule
(-1, 37)	0.4269	0.3235	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & LSTAT <= 12.319
(-1, 41)	0.4225	0.3170	RM > 6.405 & B > 282.877 & CRIM <= 7.209 & TAX <= 410.434
(-1, 3)	0.4212	0.3301	RM > 6.405 & CRIM <= 7.209 & LSTAT <= 15.211
(-1, 30)	0.4189	0.3137	RM > 6.405 & B > 282.877 & NOX <= 0.677 & LSTAT <= 12.319
(-1, 21)	0.4188	0.3235	RM > 6.405 & B > 350.428 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 29)	0.4188	0.6634	RM > 5.252 & CRIM <= 5.135 & LSTAT <= 15.211
(-1, 34)	0.4127	0.3170	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & TAX <= 410.434
(-1, 40)	0.4119	0.3235	RM > 6.405 & LSTAT <= 12.319
(-1, 6)	0.4108	0.3072	RM > 6.405 & B > 350.428 & NOX <= 0.677 & TAX <= 410.434 & LSTAT <= 12.319
(-1, 31)	0.4048	0.3333	RM > 6.405 & CRIM <= 10.909 & LSTAT <= 15.211
(-1, 44)	0.4039	0.3235	RM > 6.405 & CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 45)	0.4006	0.3301	RM > 6.405 & B > 309.410 & CRIM <= 7.209 & LSTAT <= 15.211
(-1, 24)	0.3963	0.3235	RM > 6.405 & B > 309.410 & CRIM <= 10.909 & NOX <= 0.664
(-1, 22)	0.3948	0.3235	RM > 6.405 & B > 309.410 & CRIM <= 7.209 & NOX <= 0.677
(-1, 10)	0.3870	0.6830	RM > 5.252 & CRIM <= 7.209 & LSTAT <= 15.211
(-1, 35)	0.3866	0.3268	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & LSTAT <= 13.079
(-1, 5)	0.3857	0.6928	CRIM <= 7.209 & LSTAT <= 15.211
(-1, 15)	0.3847	0.6536	RM > 5.252 & B > 350.428 & CRIM <= 7.209 & TAX <= 410.434
(-1, 32)	0.3781	0.6340	RM > 5.799 & CRIM <= 7.209 & LSTAT <= 15.211
(-1, 16)	0.3772	0.3235	RM > 6.405 & B > 350.428 & NOX <= 0.664
(-1, 1)	0.3765	0.7092	CRIM <= 5.135 & TAX <= 410.434
(-1, 36)	0.3750	0.3235	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 4)	0.3750	0.6732	RM > 5.372 & B > 350.428 & LSTAT <= 15.211
(-1, 9)	0.3746	0.5523	B > 309.410 & CRIM <= 7.209 & LSTAT <= 12.319
(-1, 18)	0.3728	0.5556	RM > 5.372 & CRIM <= 10.909 & LSTAT <= 12.319
(-1, 42)	0.3691	0.7810	CRIM <= 7.209 & NOX <= 0.664
(-1, 27)	0.3671	0.3235	RM > 6.405 & B > 282.877 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 8)	0.3654	0.5588	CRIM <= 7.209 & LSTAT <= 12.319
(-1, 7)	0.3625	0.6242	RM > 5.799 & B > 309.410 & CRIM <= 7.209 & LSTAT <= 15.211
(-1, 13)	0.3599	0.6928	RM > 5.799 & B > 309.410 & CRIM <= 7.209
(-1, 11)	0.3597	0.3235	RM > 6.405 & B > 282.877 & CRIM <= 5.135 & LSTAT <= 15.211
(-1, 39)	0.3593	0.6471	RM > 5.252 & B > 309.410 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434
(-1, 19)	0.3582	0.6471	RM > 5.372 & B > 309.410 & CRIM <= 10.909 & NOX <= 0.677 & TAX <= 410.434
(-1, 17)	0.3567	0.6928	B > 282.877 & CRIM <= 10.909 & LSTAT <= 15.211
(-1, 28)	0.3565	0.6046	RM > 5.799 & CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 25)	0.3560	0.8235	B > 282.877 & CRIM <= 7.209
(-1, 20)	0.3536	0.3301	RM > 6.405 & B > 309.410 & CRIM <= 7.209
(-1, 23)	0.3533	0.5425	B > 282.877 & CRIM <= 5.135 & LSTAT <= 12.319
(-1, 38)	0.3489	0.7451	B > 350.428 & CRIM <= 10.909 & NOX <= 0.664
(-1, 26)	0.3486	0.8693	CRIM <= 7.209
(-1, 2)	0.3474	0.8105	B > 309.410 & CRIM <= 7.209
(-1, 14)	0.3434	0.6471	RM > 5.799 & LSTAT <= 15.211
(-1, 33)	0.3376	0.5784	RM > 5.799 & B > 309.410 & CRIM <= 5.135 & TAX <= 410.434
(-1, 0)	0.3351	0.3203	RM > 6.405 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 458.541 & LSTAT <= 15.211
(-1, 12)	0.3290	0.3170	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & TAX <= 410.434
(-1, 43)	-0.0579	0.1634	INDUS > 12.545 & TAX > 317.756 & PTRATIO > 17.416 & LSTAT > 12.319 & RM <= 6.405
############################################################
