RID	y_no(b=0.7192)	y_yes(b=-0.2996)	Support	Rule
(-1, 7)	-0.8413	0.8592	0.3175	month_jun | month_mar | month_oct | month_sep | poutcome_success | age > 61.604 | duration > 442.610
(-1, 1)	-0.6389	0.5786	0.0366	poutcome_success
(-1, 4)	0.3556	-0.4611	0.4697	housing_yes & duration <= 442.610
(-1, 9)	0.3247	-0.3418	0.6246	job_blue-collar | contact_unknown | month_jan | month_jul | month_nov
(-1, 8)	0.3395	-0.2904	0.8087	housing_yes | loan_yes | contact_unknown | month_aug | month_jan
(-1, 2)	0.2757	-0.2582	0.6963	poutcome_unknown & duration <= 442.610 & previous <= 4.918
(-1, 6)	0.2746	-0.1971	0.2429	contact_unknown & poutcome_unknown & duration <= 442.610
(-1, 0)	0.0771	-0.2263	0.2875	contact_unknown
(-1, 5)	0.0488	-0.0777	0.2441	contact_unknown & duration <= 442.610
(-1, 3)	0.0749	-0.0683	0.1778	marital_married & contact_unknown
############################################################
