RID	MEDV_5.0(b=0.5058)	Support	Rule
(-1, 12)	-4.5921	0.0392	RM > 6.405 & ZN <= 50.558 & INDUS <= 12.545 & CHAS <= 0.173 & NOX <= 0.562 & PTRATIO <= 16.866 & LSTAT <= 12.319
(-1, 20)	3.2711	0.0523	RM > 6.405 & AGE > 31.342 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & DIS <= 5.534 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 8)	2.8761	0.3072	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 12.319
(-1, 21)	2.1139	0.0556	RM > 6.405 & B > 350.428 & ZN <= 6.661 & NOX <= 0.664 & DIS <= 4.326 & TAX <= 410.434 & PTRATIO <= 17.416
(-1, 37)	2.0814	0.0392	RM > 6.405 & AGE > 31.342 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & DIS <= 3.180 & RAD <= 8.382 & TAX <= 410.434 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 29)	1.9261	0.0556	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & TAX <= 317.756 & LSTAT <= 12.319
(-1, 33)	1.8753	0.0294	INDUS > 4.346 & AGE > 72.357 & B > 350.428 & CRIM <= 5.135 & ZN <= 6.661 & DIS <= 3.180 & LSTAT <= 9.251
(-1, 3)	1.5244	0.2549	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 40)	1.4877	0.7516	ZN > 50.558 | INDUS > 10.197 | CHAS > 0.326 | RAD > 6.318 | INDUS <= 4.346 | AGE <= 31.342 | B <= 350.428
(-1, 28)	1.3049	0.0065	CHAS > 0.326 & RM > 6.405 & DIS > 3.180 & B > 350.428 & CRIM <= 7.209 & INDUS <= 4.346 & AGE <= 51.269 & TAX <= 317.756 & LSTAT <= 12.319
(-1, 10)	1.0949	0.0523	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & ZN <= 6.661 & NOX <= 0.664 & DIS <= 4.326 & PTRATIO <= 17.416 & LSTAT <= 12.319
