RID	MEDV_5.0(b=0.5058)	Support	Rule
(-1, 23)	1.0253	0.1830	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 15.211
(-1, 46)	1.0235	0.8105	INDUS <= 12.800 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 24)	0.9917	0.1046	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 16.149
(-1, 68)	0.9425	0.8627	ZN > 50.558 | DIS > 2.631 | INDUS <= 4.346 | NOX <= 0.677 | AGE <= 72.357 | LSTAT <= 13.079
(-1, 31)	0.9413	0.2451	AGE > 31.342 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.748 & LSTAT <= 9.251
(-1, 57)	0.9317	0.8987	ZN > 21.951 | INDUS > 10.197 | CHAS > 0.173 | NOX > 0.748 | DIS > 5.534 | RAD > 6.318 | TAX > 375.675 | INDUS <= 4.346 | AGE <= 51.269
(-1, 35)	0.8919	0.6438	RM > 5.252 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434
(-1, 51)	0.8908	0.9314	INDUS > 10.197 | CHAS > 0.326 | RAD > 6.318 | TAX > 317.756 | INDUS <= 4.346 | AGE <= 72.357 | PTRATIO <= 17.416
(-1, 48)	0.8653	0.8235	ZN > 50.558 | INDUS > 10.197 | CHAS > 0.173 | INDUS <= 4.346 | AGE <= 31.342 | DIS <= 3.180 | PTRATIO <= 17.625
(-1, 0)	0.8513	0.1961	B > 350.428 & CRIM <= 7.209 & ZN <= 6.661 & DIS <= 4.326 & LSTAT <= 12.319
(-1, 14)	0.8178	0.0948	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 60)	0.8030	0.9216	RM > 5.799 | AGE <= 72.357 | B <= 350.428 | LSTAT <= 15.211
(-1, 44)	0.7245	0.9444	NOX > 0.700 | INDUS <= 12.800 | NOX <= 0.664 | AGE <= 72.357 | LSTAT <= 13.079
(-1, 36)	0.7135	0.1830	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 17.625
(-1, 1)	0.7087	0.1536	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 55)	0.6993	0.7320	INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 18)	0.6991	0.5719	RM > 5.799 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & TAX <= 410.434
(-1, 63)	0.6736	0.8987	CHAS > 0.173 | NOX > 0.748 | DIS > 2.631 | CRIM <= 5.135 | INDUS <= 4.346 | NOX <= 0.664 | AGE <= 72.357 | RAD <= 15.934 | LSTAT <= 9.251
(-1, 45)	0.6609	0.9477	CHAS > 0.326 | RM > 6.405 | CRIM <= 7.209 | INDUS <= 15.354 | NOX <= 0.677 | LSTAT <= 9.251
(-1, 69)	0.6548	0.8954	CHAS > 0.326 | NOX > 0.700 | INDUS <= 15.354 | NOX <= 0.562 | AGE <= 72.357 | TAX <= 375.675 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 2)	0.6302	0.3137	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434
(-1, 16)	0.6152	0.2059	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 5.534 & TAX <= 410.434
(-1, 13)	0.6022	0.1242	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & DIS <= 5.534 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 15.211
(-1, 71)	0.5883	0.9216	RM > 5.799 | AGE <= 72.357 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 67)	0.5851	0.9510	CRIM <= 10.909 | AGE <= 72.357 | RAD <= 8.823 | LSTAT <= 15.211
(-1, 58)	0.5488	0.8105	ZN > 50.558 | INDUS <= 15.354 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 9)	0.5468	0.3791	B > 350.428 & CRIM <= 7.209 & LSTAT <= 9.251
(-1, 49)	0.5297	0.8399	INDUS <= 10.197 | NOX <= 0.562 | AGE <= 72.357 | TAX <= 375.675 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 52)	0.5250	0.9118	ZN > 21.951 | CHAS > 0.173 | DIS > 5.534 | B > 350.428 | INDUS <= 4.346 | RM <= 4.652 | AGE <= 72.357 | TAX <= 458.541
(-1, 43)	0.4897	0.9216	ZN > 21.951 | CHAS > 0.173 | NOX > 0.748 | DIS > 5.534 | B > 309.410 | INDUS <= 4.346 | RM <= 4.652 | AGE <= 72.357 | PTRATIO <= 17.625
(-1, 41)	0.4625	0.9902	ZN > 50.558 | CHAS > 0.173 | NOX > 0.748 | RAD > 6.318 | INDUS <= 4.346 | AGE <= 72.357 | TAX <= 489.688 | LSTAT <= 15.211
(-1, 65)	0.4603	0.9510	CHAS > 0.173 | NOX > 0.748 | CRIM <= 10.909 | INDUS <= 4.346 | AGE <= 72.357 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 47)	0.4538	0.7712	ZN > 21.951 | CHAS > 0.326 | NOX > 0.748 | DIS > 5.534 | RAD > 6.318 | INDUS <= 4.346 | RM <= 4.652 | AGE <= 51.269 | PTRATIO <= 17.416
(-1, 42)	0.4487	0.7941	ZN > 50.558 | CHAS > 0.173 | INDUS <= 4.346 | NOX <= 0.562 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 50)	0.4250	0.9575	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | NOX <= 0.677 | AGE <= 72.357 | LSTAT <= 13.079
(-1, 59)	0.4233	0.9510	ZN > 50.558 | CHAS > 0.173 | CRIM <= 10.909 | INDUS <= 4.346 | AGE <= 72.357 | TAX <= 489.688 | LSTAT <= 15.211
(-1, 62)	0.4183	0.4739	ZN > 50.558 | CHAS > 0.173 | INDUS <= 4.346 | AGE <= 31.342 | LSTAT <= 9.251
(-1, 53)	0.4130	0.9608	ZN > 50.558 | CHAS > 0.173 | NOX > 0.700 | B > 350.428 | INDUS <= 4.346 | NOX <= 0.562 | RM <= 5.799 | AGE <= 72.357 | LSTAT <= 13.079
(-1, 4)	0.3948	0.3072	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 12.319
(-1, 32)	0.3570	0.1765	RM > 6.405 & AGE > 31.342 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 64)	0.3461	0.9673	CHAS > 0.326 | AGE <= 72.357 | DIS <= 3.180 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 61)	0.3417	0.9477	NOX > 0.700 | NOX <= 0.664 | AGE <= 72.357 | PTRATIO <= 16.866 | LSTAT <= 15.211
(-1, 70)	0.3340	0.7680	CHAS > 0.326 | NOX > 0.748 | INDUS <= 4.346 | AGE <= 72.357 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 75)	0.3027	0.8235	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | AGE <= 72.357 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 22)	0.3004	0.6471	RM > 5.799 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.700
(-1, 54)	0.2985	0.9673	CHAS > 0.173 | NOX > 0.748 | INDUS <= 4.346 | AGE <= 72.357 | DIS <= 3.180 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 74)	0.2974	0.9510	ZN > 50.558 | CHAS > 0.173 | CRIM <= 10.909 | INDUS <= 4.346 | AGE <= 51.269 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 56)	0.2857	0.9706	CHAS > 0.173 | NOX > 0.748 | CRIM <= 10.909 | INDUS <= 4.346 | NOX <= 0.677 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 72)	0.2712	0.7778	ZN > 21.951 | CHAS > 0.173 | DIS > 5.534 | RAD > 6.318 | TAX > 410.434 | INDUS <= 4.346 | RM <= 4.652 | AGE <= 51.269
(-1, 66)	0.2251	0.8856	ZN > 50.558 | CHAS > 0.173 | CRIM <= 7.209 | INDUS <= 4.346 | RM <= 4.652 | AGE <= 51.269
(-1, 39)	0.2130	0.2549	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 26)	0.2120	0.2549	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 11)	0.1981	0.3137	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & TAX <= 410.434
(-1, 73)	0.1899	0.9837	ZN > 50.558 | CHAS > 0.326 | NOX > 0.700 | INDUS <= 4.346 | RM <= 6.405 | AGE <= 31.342 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 6)	0.1457	0.0948	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.677 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 5)	0.0808	0.1046	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & PTRATIO <= 16.149 & LSTAT <= 15.211
(-1, 34)	0.0795	0.0948	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 19)	0.0780	0.2614	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 9.251
(-1, 17)	0.0629	0.3529	RM > 5.799 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 27)	0.0622	0.2614	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & LSTAT <= 9.251
(-1, 30)	0.0461	0.0948	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 38)	0.0381	0.3137	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 15.211
(-1, 15)	0.0369	0.2549	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.677 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 7)	-0.0172	0.1732	NOX > 0.677
(-1, 25)	0.0106	0.0948	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & PTRATIO <= 16.149 & LSTAT <= 9.251
############################################################
