RID	y_no(b=2.1707)	y_yes(b=-2.0001)	Support	Rule
(-1, 5)	2.6576	-2.6579	0.7682	~job_student & ~month_mar & ~month_oct & ~month_sep & ~poutcome_success & duration <= 426.683
(-1, 9)	-1.6221	1.6216	0.1565	~job_entrepreneur & ~housing_yes & ~loan_yes & ~contact_telephone & ~contact_unknown & ~month_aug & duration > 75.726
(-1, 7)	1.5979	-1.5978	0.8113	~month_mar & ~month_oct & ~poutcome_success & age <= 57.528 & duration <= 622.818
(-1, 8)	-1.3161	1.3150	0.2147	~job_blue-collar & ~contact_unknown & ~month_aug & ~month_jan & ~month_jul & ~month_nov & duration > 75.726
(-1, 6)	1.2506	-1.2507	0.8723	~month_oct & ~poutcome_success & duration <= 622.818
(-1, 0)	1.0835	-1.0835	0.7792	~month_jun & ~poutcome_success & duration <= 622.818
(-1, 4)	-1.0106	1.0102	0.1760	~month_feb & ~month_may & duration > 138.136 & day <= 16.756
(-1, 2)	-0.9929	0.9935	0.4490	~contact_unknown & duration > 138.136
(-1, 1)	-0.9117	0.9118	0.6276	duration > 138.136
(-1, 3)	-0.7979	0.7980	0.7458	duration > 104.470
############################################################
