RID	y_no(b=2.8581)	y_yes(b=-3.0816)	Support	Rule
(-1, 4)	2.7163	-2.7168	0.7127	~month_dec & ~month_feb & ~month_mar & ~month_oct & ~month_sep & ~poutcome_success & duration <= 393.746
(-1, 7)	2.4539	-2.4529	0.7908	~month_mar & ~month_oct & ~poutcome_success & duration <= 426.683
(-1, 3)	-1.6377	1.6339	0.1906	~housing_yes & ~contact_unknown & ~month_aug & duration > 104.470 & campaign <= 5.932
(-1, 0)	-1.3755	1.3744	0.3420	~contact_unknown & ~month_feb & ~month_jan & ~month_nov & duration > 139.786
(-1, 6)	-1.1588	1.1596	0.4800	duration > 188.419
(-1, 5)	1.0595	-1.0591	0.4992	~month_jun & ~month_mar & ~poutcome_success & balance <= 1763.706 & duration <= 318.691
(-1, 1)	-1.0349	1.0340	0.6237	duration > 139.786
(-1, 8)	-0.8227	0.8223	0.4457	~loan_yes & ~contact_unknown & duration > 104.470
(-1, 2)	0.6002	-0.6001	0.9634	~poutcome_success
(-1, 9)	0.4572	-0.4527	0.5803	marital_married & ~poutcome_success
############################################################
