RID	MEDV_5.0(b=2.8929)	Support	Rule
(-1, 22)	1.1501	0.3235	RM > 6.405 & B > 350.428 & NOX <= 0.664
(-1, 0)	0.9997	0.4673	DIS <= 3.180
(-1, 17)	0.8752	0.1405	RM > 6.405 & B > 350.428 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 21)	0.8418	0.6438	RM > 5.252 & B > 350.428 & NOX <= 0.664 & TAX <= 410.434
(-1, 19)	0.7618	0.7059	RM > 5.799 & B > 350.428 & CRIM <= 10.909
(-1, 15)	0.7600	0.2614	RM > 6.405 & B > 282.877 & NOX <= 0.664 & LSTAT <= 9.251
(-1, 14)	0.6254	0.0948	RM > 6.405 & NOX <= 0.664 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 68)	0.5838	0.9118	CHAS > 0.173 | NOX > 0.700 | RAD > 8.382 | INDUS <= 4.346 | RM <= 6.405 | PTRATIO <= 17.625
(-1, 72)	0.5731	0.3889	CHAS > 0.173 | NOX > 0.700 | PTRATIO <= 17.416
(-1, 76)	0.5691	0.8824	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | RM <= 6.405 | PTRATIO <= 17.416
(-1, 62)	0.5658	0.9052	CHAS > 0.173 | NOX > 0.562 | INDUS <= 4.346 | RM <= 6.405 | PTRATIO <= 17.416
(-1, 30)	0.5570	0.1046	RM > 6.405 & AGE > 31.342 & NOX <= 0.664 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 74)	0.5499	0.9052	INDUS > 12.545 | CHAS > 0.173 | NOX > 0.700 | RAD > 8.382 | INDUS <= 4.346 | RM <= 6.405 | PTRATIO <= 17.416
(-1, 58)	0.5425	0.8922	CHAS > 0.173 | NOX > 0.700 | INDUS <= 4.346 | RM <= 6.405 | PTRATIO <= 17.625
(-1, 77)	0.5095	0.7320	INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 73)	0.4939	0.9706	DIS > 2.631 | CRIM <= 10.909 | NOX <= 0.677 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 61)	0.4938	0.8137	DIS > 2.631 | INDUS <= 12.545 | LSTAT <= 15.211
(-1, 26)	-0.4899	0.2778	INDUS > 4.346 & AGE > 72.357 & PTRATIO > 17.625 & CHAS <= 0.173 & NOX <= 0.700
(-1, 69)	0.4792	0.8856	CHAS > 0.173 | NOX > 0.748 | DIS > 2.631 | INDUS <= 15.354 | NOX <= 0.664 | AGE <= 72.357 | LSTAT <= 9.251
(-1, 56)	0.4739	0.9281	CHAS > 0.173 | CRIM <= 7.209 | NOX <= 0.677 | TAX <= 489.688 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 67)	0.4726	0.9510	RM > 5.799 | NOX <= 0.677 | LSTAT <= 15.211
(-1, 65)	0.4692	0.7516	INDUS <= 4.346 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 66)	0.4687	0.8137	DIS > 2.631 | INDUS <= 12.800 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 54)	0.4655	0.8824	DIS > 2.631 | NOX <= 0.677 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 51)	0.4653	0.9444	RM > 6.405 | CRIM <= 7.209 | NOX <= 0.677 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 53)	0.4628	0.8497	CRIM <= 5.135 | PTRATIO <= 17.416 | LSTAT <= 12.319
(-1, 59)	0.4589	0.9575	CHAS > 0.173 | NOX > 0.700 | DIS > 2.631 | CRIM <= 7.209 | NOX <= 0.677 | AGE <= 72.357 | PTRATIO <= 17.416 | LSTAT <= 13.079
(-1, 60)	0.4531	0.9379	CRIM <= 10.909 | PTRATIO <= 17.625 | LSTAT <= 12.319
(-1, 78)	0.4531	0.9248	CHAS > 0.173 | NOX > 0.748 | DIS > 2.631 | CRIM <= 7.209 | NOX <= 0.677 | TAX <= 410.434 | PTRATIO <= 17.625 | LSTAT <= 9.251
(-1, 46)	0.4503	0.3170	RM > 6.405 & B > 309.410 & TAX <= 410.434
(-1, 75)	0.4501	0.9804	CHAS > 0.326 | NOX > 0.562 | RAD > 6.318 | DIS <= 5.534 | PTRATIO <= 16.149 | LSTAT <= 13.079
(-1, 55)	0.4498	0.7614	CHAS > 0.173 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 57)	0.4474	0.8758	CHAS > 0.173 | NOX > 0.562 | DIS <= 5.534 | PTRATIO <= 17.416
(-1, 71)	0.4465	0.9706	CHAS > 0.173 | CRIM <= 10.909 | NOX <= 0.677 | AGE <= 72.357 | PTRATIO <= 16.149 | LSTAT <= 15.211
(-1, 12)	0.4426	0.6797	B > 350.428 & LSTAT <= 15.211
(-1, 40)	0.4408	0.3137	RM > 6.405 & B > 350.428 & NOX <= 0.677 & TAX <= 410.434
(-1, 43)	0.4406	0.3137	RM > 6.405 & B > 350.428 & NOX <= 0.664 & LSTAT <= 12.319
(-1, 64)	0.4395	0.9542	NOX > 0.562 | RM > 5.799 | DIS <= 3.180 | PTRATIO <= 17.416
(-1, 37)	0.4391	0.3137	RM > 6.405 & NOX <= 0.677 & LSTAT <= 12.319
(-1, 6)	0.4383	0.6471	B > 350.428 & NOX <= 0.664 & LSTAT <= 15.211
