RID	MEDV_5.0(b=12.6766)	Support	Rule
(-1, 2)	2.3778	0.8693	CRIM <= 7.209
(-1, 1)	1.2997	0.9346	CRIM <= 10.909
(-1, 7)	0.8531	0.8562	B > 350.428
(-1, 5)	0.8394	0.7157	LSTAT <= 15.211
(-1, 8)	0.8086	0.9085	B > 282.877
(-1, 0)	0.5174	0.8301	CRIM <= 5.135
(-1, 13)	0.3080	0.6797	B > 350.428 & LSTAT <= 15.211
(-1, 10)	0.3066	0.6732	CRIM <= 5.135 & LSTAT <= 15.211
(-1, 11)	0.3015	0.7876	B > 350.428 & CRIM <= 7.209
(-1, 14)	0.2971	0.7810	CRIM <= 7.209 & NOX <= 0.664
(-1, 9)	0.2491	0.9477	RM > 5.372
(-1, 4)	0.2255	0.6928	CRIM <= 7.209 & LSTAT <= 15.211
(-1, 12)	0.2224	0.6536	CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 15.211
(-1, 6)	0.1996	0.7647	B > 350.428 & CRIM <= 5.135
(-1, 3)	-0.0056	0.1242	CRIM > 7.209 & INDUS > 15.354
############################################################
