RID	MEDV_5.0(b=0.4843)	Support	Rule
(-1, 25)	-2.1156	0.0359	RM > 6.405 & DIS > 3.180 & ZN <= 50.558 & INDUS <= 10.197 & CHAS <= 0.173 & PTRATIO <= 16.866 & LSTAT <= 12.319
(-1, 45)	1.5997	0.0392	RM > 6.405 & AGE > 31.342 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 3.180 & PTRATIO <= 17.416 & LSTAT <= 9.251
(-1, 29)	1.4909	0.0294	RM > 5.372 & AGE > 31.342 & B > 350.428 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 23)	1.2712	0.2614	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & LSTAT <= 9.251
(-1, 12)	1.1902	0.0392	NOX > 0.562 & B > 350.428 & CRIM <= 5.135 & ZN <= 21.951 & DIS <= 4.326 & LSTAT <= 9.251
(-1, 26)	-1.0858	0.0359	INDUS > 4.346 & NOX > 0.677 & RM > 4.652 & AGE > 51.269 & LSTAT > 9.251 & ZN <= 50.558 & RAD <= 6.318 & PTRATIO <= 16.866
(-1, 17)	-1.0852	0.1536	RM > 4.652 & ZN <= 50.558 & RAD <= 6.318 & PTRATIO <= 16.866
(-1, 8)	1.0735	0.2614	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & LSTAT <= 9.251
(-1, 0)	1.0222	0.0458	INDUS > 15.354 & B > 350.428 & CRIM <= 7.209 & ZN <= 6.661 & DIS <= 4.326 & LSTAT <= 12.319
(-1, 2)	0.9598	0.1667	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 17.416
(-1, 82)	0.9584	0.8399	ZN > 50.558 | INDUS > 10.197 | CHAS > 0.173 | RAD > 6.318 | TAX > 375.675 | INDUS <= 4.346 | AGE <= 31.342 | DIS <= 3.180 | PTRATIO <= 17.416
(-1, 7)	0.8395	0.0294	RM > 6.405 & AGE > 31.342 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 66)	0.8357	0.7092	INDUS > 10.197 | CHAS > 0.173 | AGE > 79.783 | RAD > 6.318 | LSTAT > 15.211 | PTRATIO <= 16.149 | B <= 350.428
(-1, 43)	0.8277	0.3137	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434
(-1, 1)	0.8212	0.0752	RM > 6.405 & AGE > 31.342 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 9)	0.8017	0.3137	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 15.211
(-1, 81)	0.7910	0.5425	ZN > 50.558 | CHAS > 0.326 | NOX > 0.700 | INDUS <= 4.346 | RM <= 4.652 | AGE <= 31.342 | PTRATIO <= 17.416
(-1, 39)	0.7825	0.0523	RM > 6.405 & AGE > 31.342 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.748 & DIS <= 5.534 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 13)	0.7545	0.3137	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & TAX <= 410.434
(-1, 16)	0.7345	0.0294	RM > 6.405 & AGE > 31.342 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 80)	0.7265	0.7680	DIS > 2.631 | INDUS <= 4.346 | NOX <= 0.562 | AGE <= 72.357 | LSTAT <= 13.079
(-1, 60)	0.7192	0.9183	ZN > 21.951 | INDUS > 10.197 | CHAS > 0.326 | NOX > 0.700 | DIS > 5.534 | TAX > 375.675 | INDUS <= 4.346 | AGE <= 51.269 | DIS <= 3.180 | PTRATIO <= 17.625
(-1, 40)	0.7141	0.1830	B > 350.428 & CRIM <= 5.135 & ZN <= 6.661 & DIS <= 4.326 & LSTAT <= 12.319
(-1, 24)	0.7058	0.5719	RM > 5.799 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & TAX <= 410.434
(-1, 48)	0.7007	0.4804	CHAS > 0.173 | NOX > 0.748 | INDUS <= 4.346 | RM <= 4.652 | AGE <= 31.342 | PTRATIO <= 17.625
(-1, 53)	0.6856	0.8203	INDUS <= 12.800 | NOX <= 0.562 | AGE <= 72.357 | TAX <= 317.756 | LSTAT <= 15.211
