RID	MEDV_5.0(b=0.0596)	Support	Rule
(-1, 24)	3.4608	0.0359	DIS > 4.659 & INDUS <= 4.346 & AGE <= 51.269 & RAD <= 6.318 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 23)	3.3654	0.0294	RM > 6.405 & AGE > 31.342 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 3.180 & RAD <= 8.382 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 3)	2.4210	0.0163	RM > 6.405 & AGE > 31.342 & INDUS <= 4.346 & AGE <= 51.269 & DIS <= 5.534 & TAX <= 317.756
(-1, 28)	1.9220	0.0392	RM > 6.405 & AGE > 31.342 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & DIS <= 3.180 & RAD <= 8.382 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 39)	1.7534	0.0131	NOX > 0.562 & RM > 6.405 & B > 350.428 & CRIM <= 5.135 & ZN <= 6.661 & NOX <= 0.664 & DIS <= 3.180 & RAD <= 8.382 & TAX <= 410.434 & PTRATIO <= 17.416
(-1, 78)	1.6876	0.8137	ZN > 50.558 | INDUS > 10.197 | CHAS > 0.173 | RAD > 6.318 | TAX > 375.675 | LSTAT > 15.211 | INDUS <= 4.346 | PTRATIO <= 16.149 | B <= 350.428
(-1, 59)	1.6189	0.8039	DIS > 2.631 | INDUS <= 15.354 | RM <= 4.652 | TAX <= 375.675 | LSTAT <= 13.079
(-1, 37)	1.5686	0.0131	CHAS > 0.326 & RM > 6.405 & B > 350.428 & INDUS <= 10.197 & AGE <= 51.269 & TAX <= 317.756 & LSTAT <= 13.079
(-1, 18)	1.2802	0.5719	RM > 5.799 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434
(-1, 8)	1.2612	0.2549	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 25)	1.1751	0.0098	INDUS > 12.800 & RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & DIS <= 5.534 & LSTAT <= 9.251
(-1, 36)	1.1667	0.0490	RM > 6.405 & DIS > 4.326 & INDUS <= 4.346 & AGE <= 51.269 & TAX <= 317.756
(-1, 11)	1.1061	0.0654	AGE > 72.357 & B > 350.428 & CRIM <= 5.135 & ZN <= 6.661 & DIS <= 4.326 & LSTAT <= 9.251
(-1, 34)	0.9601	0.0131	CHAS > 0.326 & RM > 6.405 & DIS > 3.180 & B > 350.428 & INDUS <= 10.197 & AGE <= 51.269 & TAX <= 317.756 & LSTAT <= 13.079
(-1, 76)	0.9560	0.9052	RM > 5.799 | AGE <= 80.249 | LSTAT <= 15.211
(-1, 81)	0.8461	0.9183	CRIM <= 7.209 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 72.357 | TAX <= 317.756 | PTRATIO <= 17.625 | LSTAT <= 9.251
(-1, 31)	0.8428	0.0065	CHAS > 0.326 & RM > 6.405 & B > 350.428 & INDUS <= 4.346 & NOX <= 0.664 & AGE <= 51.269 & TAX <= 317.756 & PTRATIO <= 16.149 & LSTAT <= 12.319
(-1, 72)	0.8368	0.9379	CHAS > 0.173 | CRIM <= 10.909 | AGE <= 72.357
(-1, 50)	0.8079	0.8856	TAX > 410.434 | INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 12.319
(-1, 67)	0.8055	0.8856	ZN > 31.487 | INDUS <= 15.354 | NOX <= 0.677 | AGE <= 72.357 | TAX <= 375.675 | LSTAT <= 15.211
(-1, 56)	0.7911	0.7843	ZN > 31.487 | CHAS > 0.173 | TAX > 375.675 | INDUS <= 4.346 | RM <= 4.652 | AGE <= 31.342 | PTRATIO <= 17.416
(-1, 54)	0.7372	0.7320	INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 55)	0.7238	0.9902	ZN > 50.558 | CHAS > 0.173 | B > 309.410 | CRIM <= 10.909 | INDUS <= 4.346 | AGE <= 72.357 | TAX <= 489.688 | LSTAT <= 15.211
(-1, 79)	0.7161	0.4542	ZN > 31.487 | CHAS > 0.173 | INDUS <= 4.346 | AGE <= 31.342 | PTRATIO <= 17.416
