RID	MEDV_5.0(b=0.0596)	Support	Rule
(-1, 69)	0.7028	0.8987	NOX > 0.748 | DIS > 2.631 | CRIM <= 5.135 | NOX <= 0.664 | AGE <= 72.357 | TAX <= 410.434 | LSTAT <= 9.251
(-1, 30)	0.6922	0.0719	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & DIS <= 3.180 & RAD <= 8.382 & TAX <= 410.434
(-1, 66)	0.6536	0.9150	ZN > 31.487 | RM > 6.405 | INDUS <= 10.197 | NOX <= 0.677 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 47)	0.6473	0.9510	ZN > 31.487 | CHAS > 0.326 | NOX > 0.700 | B > 309.410 | INDUS <= 4.346 | RM <= 4.652 | AGE <= 72.357 | PTRATIO <= 17.625 | LSTAT <= 9.251
(-1, 77)	0.6449	0.3529	ZN > 31.487 | CHAS > 0.173 | INDUS <= 4.346 | AGE <= 31.342
(-1, 27)	0.6338	0.0490	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & DIS <= 3.180 & RAD <= 8.382 & TAX <= 410.434 & PTRATIO <= 17.625
(-1, 0)	0.6017	0.0261	INDUS > 12.800 & AGE > 31.342 & B > 350.428 & CRIM <= 5.135 & LSTAT <= 9.251
(-1, 40)	0.5949	0.2059	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 5.534 & TAX <= 410.434
(-1, 14)	0.5595	0.2288	B > 350.428 & CRIM <= 7.209 & NOX <= 0.748 & DIS <= 5.534 & LSTAT <= 9.251
(-1, 62)	0.5120	0.9150	NOX > 0.700 | RAD <= 8.382 | LSTAT <= 15.211
(-1, 41)	0.4950	0.0392	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & DIS <= 3.180 & RAD <= 8.382 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 46)	0.4896	0.9085	ZN > 50.558 | CHAS > 0.173 | RM > 6.405 | CRIM <= 5.135 | INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 33)	0.4862	0.2549	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 71)	0.4750	0.6667	CHAS > 0.173 | NOX > 0.748 | INDUS <= 4.346 | AGE <= 72.357 | PTRATIO <= 17.625 | LSTAT <= 9.251
(-1, 43)	0.4741	0.9248	ZN > 31.487 | CHAS > 0.173 | INDUS <= 4.346 | AGE <= 72.357 | DIS <= 3.180 | PTRATIO <= 17.625
(-1, 58)	0.4724	0.9542	CRIM > 7.209 | AGE <= 72.357 | TAX <= 458.541 | LSTAT <= 15.211
(-1, 57)	0.4644	0.7451	ZN > 31.487 | CHAS > 0.173 | INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 74)	0.4571	0.8693	ZN > 31.487 | CHAS > 0.326 | INDUS <= 4.346 | NOX <= 0.664 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 63)	0.4522	0.9771	RM > 5.252 | DIS > 2.631 | NOX <= 0.562 | AGE <= 72.357 | TAX <= 375.675 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 48)	0.4359	0.8660	ZN > 31.487 | CHAS > 0.173 | NOX > 0.748 | INDUS <= 4.346 | AGE <= 51.269 | DIS <= 3.180 | PTRATIO <= 17.625
(-1, 49)	0.4332	0.9771	ZN > 31.487 | CHAS > 0.173 | RM > 6.405 | CRIM <= 10.909 | INDUS <= 4.346 | NOX <= 0.677 | AGE <= 72.357 | LSTAT <= 15.211
(-1, 52)	0.4329	0.9869	ZN > 31.487 | CHAS > 0.173 | B > 309.410 | CRIM <= 10.909 | INDUS <= 4.346 | RM <= 4.652 | AGE <= 72.357 | PTRATIO <= 16.149 | LSTAT <= 9.251
(-1, 68)	0.4238	0.9771	ZN > 31.487 | CHAS > 0.173 | RM > 5.252 | INDUS <= 4.346 | NOX <= 0.677 | AGE <= 72.357 | TAX <= 317.756 | LSTAT <= 15.211
(-1, 51)	0.4002	0.9804	ZN > 31.487 | CHAS > 0.173 | NOX > 0.700 | B > 309.410 | CRIM <= 7.209 | INDUS <= 4.346 | AGE <= 72.357 | PTRATIO <= 16.149 | LSTAT <= 15.211
(-1, 75)	0.3863	0.9510	CRIM <= 10.909 | AGE <= 72.357 | PTRATIO <= 17.416 | LSTAT <= 15.211
(-1, 65)	0.3841	0.8791	ZN > 50.558 | CHAS > 0.173 | CRIM <= 7.209 | INDUS <= 4.346 | AGE <= 72.357 | LSTAT <= 9.251
(-1, 61)	0.3621	0.8758	ZN > 31.487 | CHAS > 0.173 | RAD > 6.318 | INDUS <= 4.346 | AGE <= 31.342 | LSTAT <= 15.211
(-1, 44)	0.3583	0.9510	ZN > 31.487 | CHAS > 0.326 | CRIM <= 10.909 | INDUS <= 4.346 | AGE <= 72.357 | TAX <= 489.688 | LSTAT <= 15.211
(-1, 29)	0.3552	0.3072	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & RAD <= 8.382 & TAX <= 410.434 & LSTAT <= 12.319
(-1, 2)	0.3544	0.0556	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434 & LSTAT <= 9.251
(-1, 19)	0.3505	0.0719	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434
(-1, 53)	0.3332	0.9477	ZN > 31.487 | CHAS > 0.326 | RAD > 6.318 | TAX > 375.675 | INDUS <= 4.346 | AGE <= 51.269 | LSTAT <= 15.211
(-1, 7)	0.3286	0.0458	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 12.319
(-1, 15)	0.3066	0.3758	B > 350.428 & CRIM <= 5.135 & LSTAT <= 9.251
(-1, 60)	0.2793	0.9575	ZN > 50.558 | CHAS > 0.173 | NOX > 0.700 | B > 309.410 | INDUS <= 4.346 | AGE <= 51.269 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 64)	0.2658	0.9641	ZN > 50.558 | CHAS > 0.326 | RM > 5.252 | INDUS <= 4.346 | AGE <= 51.269 | LSTAT <= 12.319
(-1, 80)	0.2393	0.9575	ZN > 50.558 | CHAS > 0.173 | INDUS <= 4.346 | AGE <= 31.342 | DIS <= 3.180 | LSTAT <= 15.211
(-1, 9)	0.2266	0.0392	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 70)	0.2208	0.9902	ZN > 31.487 | CHAS > 0.173 | B > 309.410 | CRIM <= 10.909 | INDUS <= 4.346 | AGE <= 72.357 | PTRATIO <= 17.625 | LSTAT <= 15.211
(-1, 73)	0.2158	0.9444	ZN > 31.487 | CHAS > 0.173 | RAD > 6.318 | TAX > 375.675 | INDUS <= 4.346 | AGE <= 31.342 | LSTAT <= 15.211
(-1, 17)	0.2136	0.0490	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434 & PTRATIO <= 17.625
(-1, 42)	0.2098	0.3137	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & TAX <= 410.434
(-1, 10)	-0.2076	0.6209	LSTAT > 9.251
(-1, 21)	0.1904	0.3072	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & TAX <= 410.434 & LSTAT <= 12.319
(-1, 4)	0.1747	0.0719	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434
(-1, 22)	-0.1738	0.0131	CRIM > 10.909 & NOX > 0.677 & AGE > 72.357 & LSTAT > 13.079 & RM <= 5.252
(-1, 32)	0.1691	0.0948	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & TAX <= 410.434 & PTRATIO <= 16.149 & LSTAT <= 9.251
(-1, 45)	-0.1569	0.9837	NOX > 0.664 | LSTAT > 9.251 | CHAS <= 0.326 | RM <= 6.405
(-1, 6)	0.1156	0.0719	RM > 6.405 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434
(-1, 5)	0.0826	0.0719	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434 & LSTAT <= 15.211
(-1, 1)	0.0697	0.0392	RM > 6.405 & B > 350.428 & CRIM <= 5.135 & NOX <= 0.664 & DIS <= 3.180 & TAX <= 410.434 & PTRATIO <= 17.625 & LSTAT <= 9.251
(-1, 20)	0.0451	0.1830	RM > 5.799 & B > 350.428 & CRIM <= 10.909 & NOX <= 0.664 & DIS <= 3.180
(-1, 26)	0.0359	0.0556	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 3.180 & LSTAT <= 9.251
(-1, 16)	-0.0306	0.0196	CRIM > 10.909 & NOX > 0.677 & LSTAT > 9.251 & B <= 350.428
(-1, 12)	0.0290	0.0719	B > 350.428 & CRIM <= 7.209 & DIS <= 3.180 & LSTAT <= 9.251
(-1, 35)	0.0275	0.0621	RM > 5.799 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 3.180 & LSTAT <= 9.251
(-1, 13)	0.0235	0.0686	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & NOX <= 0.664 & DIS <= 3.180 & LSTAT <= 12.319
(-1, 38)	0.0139	0.0588	RM > 6.405 & B > 350.428 & CRIM <= 7.209 & DIS <= 3.180 & TAX <= 410.434 & LSTAT <= 9.251
############################################################
