RID	y_no(b=0.3650)	y_yes(b=-0.2649)	Support	Rule
(-1, 4)	-0.6484	0.7021	0.2347	job_student | month_mar | month_oct | month_sep | poutcome_success | age > 61.604 | duration > 442.610
(-1, 1)	-0.5561	0.3406	0.0366	poutcome_success
(-1, 7)	0.3139	-0.3573	0.7302	job_housemaid | loan_yes | contact_unknown | month_aug | month_jan | month_jul | month_nov
(-1, 2)	0.2977	-0.3153	0.4697	housing_yes & duration <= 442.610
(-1, 5)	0.2879	-0.2214	0.7338	job_blue-collar | housing_yes | loan_yes | contact_unknown | month_may
(-1, 3)	0.2021	-0.0827	0.8514	duration <= 442.610
(-1, 0)	0.1318	-0.0359	0.6006	marital_married
(-1, 6)	0.1061	-0.0892	0.2875	contact_unknown
############################################################
