RID	y_no(b=1.9539)	y_yes(b=-1.7445)	Support	Rule
(-1, 1)	1.9959	-1.9946	0.6247	poutcome_unknown & ~job_student & ~month_dec & ~month_feb & ~month_mar & ~month_oct & ~month_sep & ~poutcome_success & duration <= 426.683 & previous <= 1.786
(-1, 2)	-1.4665	1.4659	0.1931	~housing_yes & ~loan_yes & ~contact_telephone & ~contact_unknown & duration > 104.470 & duration <= 622.818
(-1, 4)	1.2072	-1.2081	0.8625	~month_mar & ~month_oct & ~poutcome_success & duration <= 622.818
(-1, 0)	-1.2043	1.2034	0.2584	~job_blue-collar & ~job_entrepreneur & ~contact_unknown & ~month_aug & ~month_jul & duration > 104.470
(-1, 3)	-1.1645	1.1663	0.3435	~contact_unknown & ~month_feb & ~month_jan & ~month_nov & duration > 138.136
(-1, 6)	1.0349	-1.0351	0.6353	~month_jun & ~month_mar & ~month_oct & ~poutcome_success & age <= 57.528 & duration <= 622.818 & previous <= 1.786
(-1, 7)	0.8590	-0.8592	0.8116	~poutcome_success & duration <= 426.683
(-1, 9)	0.8370	-0.8366	0.8853	~poutcome_success & duration <= 622.818
(-1, 8)	-0.6348	0.6374	0.6276	duration > 138.136
(-1, 5)	-0.4083	0.4096	0.8459	duration > 75.726
############################################################
