RID	y_no(b=1.1317)	y_yes(b=-0.6832)	Support	Rule
(-1, 5)	1.6709	-1.6716	0.6956	~job_student & ~month_feb & ~month_mar & ~month_oct & ~month_sep & ~poutcome_success & duration <= 381.988
(-1, 0)	1.5295	-1.5305	0.9634	~poutcome_success
(-1, 6)	-1.4139	1.4148	0.1550	~job_blue-collar & ~housing_yes & ~loan_yes & ~contact_unknown & ~month_jul & balance > -182.204 & duration > 139.786
(-1, 4)	1.3900	-1.3908	0.7426	~month_mar & ~month_oct & ~poutcome_success & age > 27.991 & duration <= 426.683
(-1, 2)	1.3368	-1.3373	0.7086	~job_retired & ~month_mar & ~month_oct & ~poutcome_success & age > 27.991 & duration <= 426.683
(-1, 3)	-0.9899	0.9907	0.3955	~contact_unknown & ~month_nov & duration > 139.786
(-1, 7)	-0.9599	0.9609	0.5326	~contact_unknown & duration > 104.470
(-1, 1)	-0.8044	0.8044	0.4800	duration > 188.419
############################################################
